Rk,School,G,W 1999,L 1999,W-L% 1999,SRS,SOS,W 1999 Conf,L 1999 Conf,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
56,College of Charleston,30,24,6,0.8,1,-7.04,13,3,,,,,2035,1759,,,746,1588,0.47,111,333,0.333,432,657,0.658,348,1095,428,218,180,416,478
57,Colorado State,30,18,12,0.6,8.24,3.48,8,6,,,,,2105,1924,,,720,1509,0.477,255,579,0.44,410,583,0.703,267,925,430,193,133,427,537
58,Colorado,32,18,14,0.563,8.58,6.33,7,9,,,,,2407,2299,,,844,1979,0.426,154,454,0.339,565,824,0.686,472,1288,476,275,116,455,615
59,Columbia,27,13,14,0.481,-11.79,-8.25,7,7,,,,,1598,1654,,,542,1254,0.432,198,526,0.376,316,455,0.695,194,873,359,155,90,,
60,Connecticut,35,25,10,0.714,16.93,7.58,10,6,,,,,2611,2284,,,956,2071,0.462,184,477,0.386,515,707,0.728,506,1373,529,230,179,495,596
61,Coppin State,30,15,15,0.5,-10.66,-9.36,13,5,,,,,2017,2056,,,691,1693,0.408,177,514,0.344,458,652,0.702,357,1026,320,226,122,448,543
62,Cornell,27,10,17,0.37,-13.94,-9.13,3,11,,,,,1763,1852,,,611,1522,0.401,162,476,0.34,379,571,0.664,353,1024,318,200,55,417,512
63,Creighton,33,23,10,0.697,8.28,1.64,11,7,,,,,2410,2191,,,819,1717,0.477,289,694,0.416,483,671,0.72,315,1084,510,262,77,484,605
64,Dartmouth,27,9,18,0.333,-14.72,-8.49,5,9,,,,,1792,1939,,,626,1544,0.405,211,656,0.322,329,492,0.669,281,908,395,186,67,362,499
65,Davidson,28,15,13,0.536,-2.73,-2.69,10,6,,,,,2068,1973,,,730,1651,0.442,193,592,0.326,415,584,0.711,329,1027,448,223,71,456,616
66,Dayton,31,22,9,0.71,9.95,3.46,11,5,,,,,2214,2013,,,752,1735,0.433,218,590,0.369,492,690,0.713,447,1153,412,215,70,429,559
67,Delaware State,28,6,22,0.214,-17.72,-11.26,5,13,,,,,1758,1939,,,646,1498,0.431,169,457,0.37,297,435,0.683,318,983,359,176,56,521,488
68,Delaware,32,24,8,0.75,-0.12,-7.75,14,4,,,,,2447,2203,,,841,1823,0.461,243,669,0.363,522,693,0.753,301,1119,474,264,176,467,563
69,Denver,28,6,22,0.214,-12.18,-1.14,3,13,,,,,1850,2159,,,640,1734,0.369,204,650,0.314,366,566,0.647,377,999,372,148,78,398,512
70,DePaul,33,21,12,0.636,14.67,7.83,9,7,,,,,2387,2123,,,877,1935,0.453,195,563,0.346,438,655,0.669,518,1302,494,267,126,538,597
71,Detroit Mercy,32,20,12,0.625,3.64,0.14,8,6,,,,,2229,2064,,,779,1732,0.45,228,594,0.384,443,614,0.721,348,1085,442,197,94,418,554
72,Drake,29,11,18,0.379,-0.81,0.71,4,14,,,,,1803,1843,,,621,1529,0.406,166,529,0.314,395,565,0.699,290,935,396,212,49,374,509
73,Drexel,30,13,17,0.433,-10.03,-7.13,9,9,,,,,1889,1976,,,670,1643,0.408,189,529,0.357,360,518,0.695,379,1116,336,160,38,430,570
74,Duke,34,29,5,0.853,25.55,8.88,15,1,,,,,2992,2425,,,1045,2172,0.481,284,742,0.383,618,833,0.742,453,1313,584,333,191,480,552
75,Duquesne,29,9,20,0.31,-4.57,2.5,4,12,,,,,2009,2214,,,682,1739,0.392,178,567,0.314,467,687,0.68,392,1056,334,177,67,443,564
76,East Carolina,28,10,18,0.357,-5.82,-2.6,5,11,,,,,1798,1851,,,654,1585,0.413,200,586,0.341,290,461,0.629,355,1099,352,98,89,428,582
77,East Tennessee State,29,14,15,0.483,-8.71,-4.97,8,8,,,,,2003,2057,,,681,1598,0.426,150,415,0.361,491,751,0.654,409,1070,334,245,47,496,606
78,Eastern Illinois,29,17,12,0.586,1.79,-1.99,11,7,,,,,2336,2157,,,860,1824,0.471,206,512,0.402,410,569,0.721,389,1110,510,241,92,443,536
79,Eastern Kentucky,27,6,21,0.222,-14.42,-1.7,2,16,,,,,1888,2130,,,676,1601,0.422,152,503,0.302,384,547,0.702,405,1015,370,179,105,516,532
80,Eastern Michigan,28,15,13,0.536,1.45,1.87,9,9,,,,,2014,1977,,,758,1739,0.436,153,452,0.338,345,537,0.642,410,1117,380,226,126,454,596
81,Eastern Washington,27,15,12,0.556,2.26,1.48,12,4,,,,,2002,1934,,,714,1629,0.438,216,584,0.37,358,526,0.681,345,973,433,156,80,365,568
82,Elon,28,13,15,0.464,-11.97,-6.37,7,7,,,,,2083,2120,,,767,1648,0.465,165,460,0.359,384,555,0.692,359,1021,382,258,72,514,582
83,Evansville,30,18,12,0.6,2.68,0.98,9,9,,,,,2069,2018,,,721,1594,0.452,155,438,0.354,472,634,0.744,269,1005,458,202,59,436,506
84,Fairfield,29,14,15,0.483,-3.2,-2.44,11,7,,,,,2222,2244,,,752,1782,0.422,157,497,0.316,561,785,0.715,489,1196,385,247,70,509,570
85,Fairleigh Dickinson,28,17,11,0.607,-7.75,-7.97,13,5,,,,,1807,1781,,,619,1439,0.43,167,489,0.342,402,634,0.634,365,1017,322,210,85,502,496
86,Florida A&M,31,9,22,0.29,-20.43,-9.43,7,11,,,,,1999,2340,,,708,1823,0.388,168,526,0.319,413,713,0.579,443,1121,342,273,67,595,722
87,Florida Atlantic,30,2,28,0.067,-23.33,-3.26,0,18,,,,,1833,2411,,,625,1636,0.382,200,605,0.331,383,539,0.711,339,911,345,241,65,593,535
88,Florida International,30,16,14,0.533,-0.45,-2.07,9,7,,,,,2167,2079,,,787,1794,0.439,175,522,0.335,418,621,0.673,369,1108,409,287,138,458,536
89,Florida State,29,12,17,0.414,4.42,10,6,10,,,,,1874,2036,,,656,1591,0.412,175,490,0.357,387,566,0.684,366,1075,352,153,120,449,483
90,Florida,37,29,8,0.784,23.48,8.51,12,4,,,,,3102,2548,,,1104,2299,0.48,266,732,0.363,628,885,0.71,538,1452,611,365,141,607,750
91,Fordham,29,14,15,0.483,1.71,2.82,7,9,,,,,2189,2221,,,768,1758,0.437,232,638,0.364,421,563,0.748,357,1068,453,257,93,479,643
92,Fresno State,34,24,10,0.706,9.17,3.58,11,3,,,,,2799,2609,,,1021,2167,0.471,279,794,0.351,478,680,0.703,422,1309,654,282,161,509,597
93,Furman,32,14,18,0.438,-6.39,-5.15,5,10,,,,,2252,2190,,,798,1769,0.451,157,504,0.312,499,735,0.679,363,1155,449,242,68,,606
94,George Mason,30,19,11,0.633,1,-2.37,12,4,,,,,2134,2033,,,764,1683,0.454,176,510,0.345,430,656,0.655,346,1023,435,235,110,421,521
95,George Washington,30,15,15,0.5,4.55,5.41,9,7,,,,,2417,2443,,,818,1998,0.409,179,635,0.282,602,881,0.683,501,1132,388,262,87,399,669
96,Georgetown,34,19,15,0.559,6.63,5.78,6,10,,,,,2369,2318,,,839,2132,0.394,153,521,0.294,538,822,0.655,589,1498,448,318,226,615,688
97,Georgia Southern,28,16,12,0.571,-7.93,-5.45,10,6,,,,,2158,2209,,,795,1763,0.451,186,530,0.351,382,556,0.687,402,977,451,247,73,432,565
98,Georgia State,29,17,12,0.586,-2.76,-6.1,13,5,,,,,2082,1985,,,755,1656,0.456,188,506,0.372,384,579,0.663,346,989,352,254,125,398,530
99,Georgia Tech,30,13,17,0.433,6.23,7,5,11,,,,,2119,2142,,,725,1778,0.408,242,705,0.343,427,625,0.683,410,1167,456,196,147,509,516
100,Georgia,30,10,20,0.333,5.21,8.71,3,13,,,,,2147,2252,,,792,1716,0.462,145,423,0.343,418,641,0.652,406,1174,453,164,98,554,501
101,Gonzaga,35,26,9,0.743,16.38,4.64,11,3,,,,,2719,2308,,,965,2014,0.479,260,715,0.364,529,795,0.665,409,1325,587,202,150,469,651
102,Grambling,31,1,30,0.032,-27.91,-9.16,0,18,,,,,2251,2820,,,817,2006,0.407,180,604,0.298,437,671,0.651,469,1148,405,268,62,594,746
103,Green Bay,30,14,16,0.467,0.64,1.84,6,8,,,,,1699,1735,,,610,1438,0.424,146,428,0.341,333,477,0.698,275,891,357,165,60,395,515
104,Hampton,29,17,12,0.586,-8.54,-11.61,13,5,,,,,2165,2075,,,765,1708,0.448,201,563,0.357,434,671,0.647,371,1109,412,231,149,489,538
105,Hartford,29,10,19,0.345,-14.53,-7.42,6,12,,,,,2073,2279,,,723,1768,0.409,146,461,0.317,481,722,0.666,415,1121,362,265,106,546,653
106,Harvard,27,12,15,0.444,-12.75,-9.75,7,7,,,,,1780,1829,,,660,1582,0.417,178,486,0.366,282,438,0.644,343,935,429,233,43,424,517
107,Hawaii,29,17,12,0.586,5.09,2.23,5,9,,,,,2210,2127,,,818,1696,0.482,131,364,0.36,443,627,0.707,369,1066,516,201,107,528,576
108,High Point,28,11,17,0.393,-15.35,-6.07,5,9,,,,,1900,2049,,,671,1489,0.451,125,388,0.322,433,651,0.665,288,954,361,271,60,551,486
109,Hofstra,31,24,7,0.774,5.23,-6.03,16,2,,,,,2307,1958,,,827,1813,0.456,225,627,0.359,428,623,0.687,390,1125,435,270,121,415,565
110,Holy Cross,28,10,18,0.357,-11.35,-7.96,3,9,,,,,1677,1772,,1120,539,1330,0.405,140,407,0.344,459,756,0.607,352,1053,317,183,105,556,555
111,Houston,31,9,22,0.29,1.94,6.44,2,14,,,,,2363,2476,,,834,1910,0.437,157,471,0.333,538,775,0.694,401,1157,407,254,80,504,660
112,Howard,28,1,27,0.036,-26.15,-6.65,1,17,,,,,1825,2372,,,681,1744,0.39,181,532,0.34,282,442,0.638,338,927,325,207,49,482,519
113,Idaho State,27,8,19,0.296,-5.42,1.18,3,13,,,,,1893,2026,,,661,1568,0.422,171,467,0.366,400,587,0.681,353,995,339,141,86,416,568
114,Idaho,29,12,17,0.414,-2.92,1.53,6,10,,,,,1999,2065,,,707,1585,0.446,184,507,0.363,401,594,0.675,298,1010,416,172,88,,
115,Illinois-Chicago,31,11,20,0.355,-3.84,0.52,5,9,,,,,2048,2153,,,743,1782,0.417,132,410,0.322,430,621,0.692,390,1230,398,217,73,,
116,Illinois State,30,10,20,0.333,-2.32,2.72,5,13,,,,,2031,2150,,,710,1585,0.448,167,438,0.381,444,600,0.74,317,1011,343,175,90,511,577
117,Illinois,32,22,10,0.688,19.73,9.6,11,5,,,,,2424,2100,,,834,1925,0.433,231,652,0.354,525,763,0.688,397,1177,499,297,119,458,619
118,Indiana State,32,22,10,0.688,6.54,3.22,14,4,,,,,2136,2030,,,756,1739,0.435,161,453,0.355,463,657,0.705,314,1058,406,292,104,421,549
119,Indiana,29,20,9,0.69,19.43,10.22,10,6,,,,,2253,1985,,,811,1697,0.478,127,336,0.378,504,711,0.709,329,1128,466,217,141,424,524
120,Iona,31,20,11,0.645,-1.22,-4.13,13,5,,,,,2443,2353,,,846,1877,0.451,147,427,0.344,604,833,0.725,444,1272,529,233,216,557,607
121,Iowa State,37,32,5,0.865,19.08,7.14,14,2,,,,,2898,2409,,,1038,2140,0.485,190,518,0.367,632,899,0.703,452,1422,565,277,119,518,566
122,Iowa,30,14,16,0.467,8.99,11.83,6,10,,,,,2064,2149,,,700,1711,0.409,187,540,0.346,477,706,0.676,340,1043,388,206,55,424,678
123,IUPUI,28,7,21,0.25,-9.99,-3.13,4,12,,,,,1719,1905,,,594,1503,0.395,118,368,0.321,407,615,0.662,327,913,294,239,81,415,497
124,Jackson State,33,17,16,0.515,-12.19,-10.38,10,8,,,,,2205,2251,,,766,1875,0.409,91,362,0.251,582,911,0.639,528,1343,414,252,172,627,673
125,Jacksonville State,28,17,11,0.607,-7.01,-8.45,12,6,,,,,1949,1901,,,683,1583,0.431,182,534,0.341,401,604,0.664,370,1343,440,170,82,460,487
126,Jacksonville,27,8,19,0.296,-10.95,-7.95,5,13,,,,,1914,1965,,,716,1549,0.462,174,492,0.354,308,487,0.632,329,879,424,197,77,456,483
127,James Madison,29,20,9,0.69,-2.55,-4.55,12,4,,,,,2009,1951,,,695,1676,0.415,180,568,0.317,439,632,0.695,382,1085,363,191,112,415,538
128,Kansas State,28,9,19,0.321,1,8.32,2,14,,,,,1907,2112,,,694,1628,0.426,187,508,0.368,332,498,0.667,374,1051,377,193,118,530,542
129,Kansas,34,24,10,0.706,17.94,9.79,11,5,,,,,2676,2382,,1365,1044,2269,0.46,159,463,0.343,429,660,0.65,564,1505,630,312,187,589,725
130,Kent State,31,23,8,0.742,10.87,2.21,13,5,,,,,2346,2044,,,853,1834,0.465,155,420,0.369,485,654,0.742,399,1094,496,266,103,433,618
131,Kentucky,33,23,10,0.697,18.52,12.71,12,4,,,,,2280,2074,,,793,1873,0.423,188,643,0.292,506,735,0.688,473,1300,427,201,185,502,537
132,La Salle,28,11,17,0.393,0.28,3.1,5,11,,,,,1845,1924,,,645,1629,0.396,223,653,0.342,332,487,0.682,359,1003,344,141,113,367,450
133,Lafayette,31,24,7,0.774,0.42,-8.07,11,1,,,,,2280,1986,,,774,1704,0.454,249,639,0.39,483,672,0.719,342,1109,473,313,104,499,558
134,Lamar,31,15,16,0.484,-6.16,-3.84,8,10,,,,,1949,2021,,,672,1725,0.39,216,643,0.336,389,567,0.686,381,1128,408,225,86,486,530
135,Lehigh,29,8,21,0.276,-15.4,-6.25,3,9,,,,,1885,2046,,,654,1610,0.406,174,461,0.377,403,598,0.674,347,1008,373,219,117,373,563
136,Liberty,28,14,14,0.5,-12.24,-8.41,4,10,,,,,1916,1912,,,724,1745,0.415,87,274,0.318,381,579,0.658,442,1054,366,376,65,532,603
137,Long Beach State,30,24,6,0.8,8.81,-0.87,15,1,,,,,2435,2060,,,884,1784,0.496,187,515,0.363,480,698,0.688,387,1094,472,280,128,455,550
138,Long Island University,27,8,19,0.296,-16.4,-7.94,5,13,,,,,1719,1920,,,669,1620,0.413,111,395,0.281,270,439,0.615,322,946,333,241,98,452,418
139,Louisiana,34,25,9,0.735,2.37,-1.58,13,3,,,,,2441,2301,,,880,2047,0.43,200,601,0.333,479,778,0.616,508,901,496,271,115,,212
140,Louisiana-Monroe,28,19,9,0.679,-1.93,-5.85,13,5,,,,,2195,2064,,,779,1791,0.435,171,519,0.329,464,645,0.719,366,1173,443,225,207,481,493
141,Louisiana State,34,28,6,0.824,18.9,5.78,12,4,,,,,2578,2132,,,915,1880,0.487,196,558,0.351,552,858,0.643,448,1373,503,313,180,593,549
142,Louisiana Tech,29,21,8,0.724,1.81,-4.09,12,4,,,,,2111,1940,,,746,1677,0.445,172,475,0.362,447,671,0.666,370,1086,312,199,95,408,628
143,Louisville,31,19,12,0.613,14.93,8.76,10,6,,,,,2269,2052,,,849,1823,0.466,165,503,0.328,406,577,0.704,382,1045,518,286,136,490,569
144,Loyola (IL),28,14,14,0.5,-4.34,-0.73,4,10,,,,,1853,1954,,,666,1548,0.43,149,470,0.317,372,522,0.713,321,964,407,176,84,,537
145,Loyola Marymount,28,2,26,0.071,-16.42,3.24,0,14,,,,,1744,2232,,,571,1584,0.36,150,494,0.304,452,675,0.67,350,984,317,140,79,479,568
146,Loyola (MD),28,7,21,0.25,-15.44,-5.94,4,14,,,,,1833,2099,,,672,1561,0.43,131,447,0.293,358,599,0.598,326,982,373,205,141,478,487
147,Maine,31,24,7,0.774,-3.06,-10.06,15,3,,,,,2362,2141,,,851,1744,0.488,247,660,0.374,413,549,0.752,307,1056,478,260,79,486,260
148,Manhattan,27,12,15,0.444,-3.91,-6.94,9,9,,,,,2080,1998,,,765,1701,0.45,193,567,0.34,357,537,0.665,363,960,429,254,82,435,663
149,Marist,28,14,14,0.5,-6.22,-6.54,10,8,,,,,1963,1954,,,704,1671,0.421,141,439,0.321,414,619,0.669,373,1052,375,237,131,400,513
150,Marquette,29,15,14,0.517,7.21,6.83,8,8,,,,,1820,1809,,,668,1590,0.42,179,512,0.35,305,472,0.646,417,1070,360,166,44,452,592
151,Marshall,30,21,9,0.7,5.05,-0.16,11,7,,,,,2442,2216,,,885,1858,0.476,246,631,0.39,426,602,0.708,366,1120,489,239,114,415,554
152,Maryland-Baltimore County,29,11,18,0.379,-8.43,-7.36,7,11,,,,,1879,1864,,,679,1557,0.436,120,373,0.322,401,609,0.658,377,1100,392,204,145,496,77
153,Maryland-Eastern Shore,29,12,17,0.414,-17.65,-10.9,8,10,,,,,1919,2115,,,647,1578,0.41,152,391,0.389,473,718,0.659,375,989,264,212,79,468,531
154,Maryland,35,25,10,0.714,17.93,9.44,11,5,,,,,2683,2386,,,1001,2151,0.465,195,553,0.353,486,710,0.685,476,1354,667,355,235,570,638
155,Massachusetts,33,17,16,0.515,7.83,5.05,9,7,,,,,2264,2138,,1325,824,1919,0.429,160,472,0.339,456,701,0.65,441,1175,416,296,133,480,621
156,McNeese State,27,6,21,0.222,-15.14,-4.43,5,13,,,,,1771,2060,,,660,1527,0.432,169,473,0.357,282,451,0.625,260,909,351,228,71,479,487
157,Memphis,31,15,16,0.484,6.37,5.64,7,9,,,,,2270,2230,,,811,1931,0.42,168,492,0.341,480,729,0.658,467,1204,449,238,137,527,608
158,Mercer,33,12,21,0.364,-10.84,-5.77,7,11,,,,,2259,2371,,,832,2007,0.415,205,637,0.322,390,565,0.69,468,1260,422,254,81,507,595
159,Miami (FL),34,23,11,0.676,11.83,5.39,13,3,,,,,2346,2127,,,849,1971,0.431,132,440,0.3,516,690,0.748,489,1282,498,286,126,504,615
160,Miami (OH),30,15,15,0.5,4.73,3.6,8,10,,,,,1920,1886,,,673,1612,0.417,222,598,0.371,352,480,0.733,340,1020,362,150,56,,
161,Michigan State,39,32,7,0.821,25.04,9.91,13,3,,,,,2889,2299,,,1018,2148,0.474,253,669,0.378,600,816,0.735,521,1521,602,256,105,569,721
162,Michigan,29,15,14,0.517,5.27,9.27,6,10,,,,,2190,2306,,,780,1708,0.457,174,507,0.343,456,668,0.683,337,1082,414,156,123,492,621
163,Middle Tennessee,28,15,13,0.536,-2.4,-2.4,10,8,,,,,2143,2121,,,746,1613,0.462,193,533,0.362,458,625,0.733,338,939,484,278,101,461,560
164,Milwaukee,29,15,14,0.517,2.17,1.67,6,8,,,,,2050,2002,,,656,1578,0.416,256,701,0.365,482,658,0.733,318,921,389,182,27,356,512
165,Minnesota,28,12,16,0.429,6.77,9.62,4,12,,,,,1965,2045,,,738,1624,0.454,118,380,0.311,371,585,0.634,385,1068,449,186,151,478,531
