Coach,School,Conference,W_2013,L_2013,W-L%_2013,AP_Pre_2013,AP_Post_2013,NCAA_Tournament_2013,Since_2013,W_Career_2013,L_Career_2013,W-L%_Career_2013,NCAA_Career_2013,S16_Career_2013,FF_Career_2013,Chmp_Career_2013,W_Overall_2013,L_Overall_2013,W-L%_Overall_2013,NCAA_Overall_2013,S16_Overall_2013,FF_Overall_2013,Chmp_Overall_2013
Bill Coen,Northeastern,CAA,11,21,0.344,,,,2006-07,122,133,0.478,,,,,122,133,0.478,,,,
Jack Murphy,Northern Arizona,Big Sky,15,17,0.469,,,,2012-13,26,38,0.406,,,,,26,38,0.406,,,,
B.J. Hill,Northern Colorado,Big Sky,18,14,0.562,,,,2010-11,61,62,0.496,1,,,,61,62,0.496,1,,,
Mark Montgomery,Northern Illinois,MAC,15,17,0.469,,,,2011-12,25,68,0.269,,,,,25,68,0.269,,,,
Ben Jacobson,Northern Iowa,MVC,16,15,0.516,,,,2006-07,166,101,0.622,2,1,,,166,101,0.622,2,1,,
Dave Bezold,Northern Kentucky,A-Sun,9,21,0.3,,,,2012-13,20,37,0.351,,,,,20,37,0.351,,,,
Chris Collins,Northwestern,Big Ten,14,19,0.424,,,,2013-14,14,19,0.424,,,,,14,19,0.424,,,,
Mike McConathy,Northwestern State,Southland,17,14,0.548,,,,1999-00,240,227,0.514,3,,,,240,227,0.514,3,,,
Mike Brey,Notre Dame,ACC,15,17,0.469,21,,,2000-01,300,159,0.654,9,1,,,399,211,0.654,11,1,,
Greg Kampe,Oakland,Horizon,13,20,0.394,,,,1999-00,255,224,0.532,3,,,,255,224,0.532,3,,,
Jim Christian,Ohio,MAC,25,12,0.676,,,,2012-13,49,22,0.69,,,,,242,154,0.611,2,,,
Thad Matta,Ohio State,Big Ten,25,10,0.714,11,22,Lost Second Round,2004-05,275,83,0.768,8,5,2,,377,114,0.768,12,6,2,
Lon Kruger,Oklahoma,Big 12,23,10,0.697,,21,Lost Second Round,2011-12,58,38,0.604,2,,,,537,342,0.611,15,3,1,
Travis Ford,Oklahoma State,Big 12,21,13,0.618,9,,Lost Second Round,2008-09,125,77,0.619,4,,,,248,192,0.564,5,,,
Jeff Jones,Old Dominion,CUSA,18,18,0.5,,,,2013-14,18,18,0.5,,,,,375,305,0.551,7,2,,
Scott Sutton,Oral Roberts,Southland,17,16,0.515,,,,1999-00,287,193,0.598,3,,,,287,193,0.598,3,,,
Dana Altman,Oregon,Pac-12,24,10,0.706,19,,Lost Third Round,2010-11,97,47,0.674,2,1,,,507,290,0.636,10,1,,
Craig Robinson,Oregon State,Pac-12,16,16,0.5,,,,2008-09,94,105,0.472,,,,,124,133,0.482,,,,
Ron Verlin,Pacific,WCC,18,16,0.529,,,,2013-14,18,16,0.529,,,,,18,16,0.529,,,,
Patrick Chambers,Penn State,Big Ten,16,18,0.471,,,,2011-12,38,59,0.392,,,,,80,87,0.479,1,,,
Jerome Allen,Penn,Ivy,8,20,0.286,,,,2009-10,56,85,0.397,,,,,56,85,0.397,,,,
Marty Wilson,Pepperdine,WCC,15,16,0.484,,,,1995-96,40,63,0.388,,,,,40,63,0.388,,,,
Jamie Dixon,Pitt,ACC,26,10,0.722,,,Lost Third Round,2003-04,288,96,0.75,10,3,,,288,96,0.75,10,3,,
Eric Reveno,Portland,WCC,15,16,0.484,,,,2006-07,111,142,0.439,,,,,111,142,0.439,,,,
Tyler Geving,Portland State,Big Sky,17,15,0.531,,,,2009-10,69,85,0.448,,,,,69,85,0.448,,,,
Byron Rimm,Prairie View,SWAC,11,23,0.324,,,,2006-07,99,156,0.388,,,,,99,156,0.388,,,,
Gregg Nibert,Presbyterian,Big South,6,26,0.188,,,,2007-08,63,151,0.294,,,,,63,151,0.294,,,,
Mitch Henderson,Princeton,Ivy,21,9,0.7,,,,2011-12,58,32,0.644,,,,,58,32,0.644,,,,
Ed Cooley,Providence,Big East,23,12,0.657,,,Lost Second Round,2011-12,57,44,0.564,1,,,,149,113,0.569,1,,,
Matt Painter,Purdue,Big Ten,15,17,0.469,,,,2005-06,191,112,0.63,6,2,,,216,117,0.649,7,2,,
Tom Moore,Quinnipiac,MAAC,20,12,0.625,,,,2007-08,128,93,0.579,,,,,128,93,0.579,,,,
Mike Jones,Radford,Big South,22,13,0.629,,,,2011-12,41,58,0.414,,,,,41,58,0.414,,,,
Dan Hurley,Rhode Island,A-10,14,18,0.438,,,,2012-13,22,39,0.361,,,,,60,62,0.492,,,,
Ben Braun,Rice,CUSA,7,23,0.233,,,,2008-09,63,128,0.33,,,,,466,415,0.529,8,2,,
Chris Mooney,Richmond,A-10,19,14,0.576,,,,2005-06,166,132,0.557,2,1,,,184,144,0.561,2,1,,
Kevin Baggett,Rider,MAAC,14,17,0.452,,,,2012-13,33,32,0.508,,,,,33,32,0.508,,,,
Andrew Toole,Robert Morris,NEC,22,14,0.611,,,,2010-11,90,50,0.643,,,,,90,50,0.643,,,,
Eddie Jordan,Rutgers,AAC,12,21,0.364,,,,2013-14,12,21,0.364,,,,,12,21,0.364,,,,
Brian Katz,Sacramento State,Big Sky,14,16,0.467,,,,2008-09,56,118,0.322,,,,,56,118,0.322,,,,
Anthony Latina,Sacred Heart,NEC,5,26,0.161,,,,2013-14,5,26,0.161,,,,,5,26,0.161,,,,
Rob Krimmel,Saint Francis (PA),NEC,10,21,0.323,,,,2012-13,15,45,0.25,,,,,15,45,0.25,,,,
Phil Martelli,St. Joseph's,A-10,24,10,0.706,,,Lost Second Round,1995-96,362,247,0.594,6,2,,,362,247,0.594,6,2,,
Jim Crews,Saint Louis,A-10,27,7,0.794,,25,Lost Third Round,2012-13,55,14,0.797,2,,,,408,363,0.529,6,,,
Eran Ganot,Saint Mary's,WCC,3,2,0.6,,,,2013-14,3,2,0.6,,,,,3,2,0.6,,,,
Randy Bennett,Saint Mary's,WCC,20,10,0.667,,,,2001-02,283,135,0.677,5,1,,,283,135,0.677,5,1,,
John Dunne,St. Peter's,MAAC,14,17,0.452,,,,2006-07,86,160,0.35,1,,,,86,160,0.35,1,,,
Jason Hooten,Sam Houston State,Southland,24,11,0.686,,,,2010-11,72,60,0.545,,,,,72,60,0.545,,,,
Bennie Seltzer,Samford,Southern,13,20,0.394,,,,2012-13,24,41,0.369,,,,,24,41,0.369,,,,
Bill Grier,San Diego,WCC,18,17,0.514,,,,2007-08,102,128,0.443,1,,,,102,128,0.443,1,,,
Steve Fisher*,San Diego State,MWC,31,5,0.861,,13,Lost Regional Semifinal,1999-00,312,176,0.639,7,2,,,497,257,0.659,14,6,3,1
Rex Walters,San Francisco,WCC,21,12,0.636,,,,2008-09,98,94,0.51,,,,,129,127,0.504,,,,
Dave Wojcik,San Jose State,MWC,7,24,0.226,,,,2013-14,7,24,0.226,,,,,7,24,0.226,,,,
Kerry Keating,Santa Clara,WCC,14,19,0.424,,,,2007-08,114,121,0.485,,,,,114,121,0.485,,,,
Horace Broadnax,Savannah State,MEAC,13,19,0.406,,,,2005-06,118,157,0.429,,,,,160,245,0.395,,,,
Cameron Dollar,Seattle,WAC,13,17,0.433,,,,2009-10,61,88,0.409,,,,,61,88,0.409,,,,
Kevin Willard,Seton Hall,Big East,17,17,0.5,,,,2010-11,66,66,0.5,,,,,111,115,0.491,,,,
Jimmy Patsos,Siena,MAAC,20,18,0.526,,,,2013-14,20,18,0.526,,,,,165,153,0.519,1,,,
Matthew Graves,South Alabama,Sun Belt,11,20,0.355,,,,2013-14,11,20,0.355,,,,,11,20,0.355,,,,
Frank Martin,South Carolina,SEC,14,20,0.412,,,,2012-13,28,38,0.424,,,,,145,92,0.612,4,1,,
Murray Garvin,South Carolina State,MEAC,9,21,0.3,,,,2012-13,11,28,0.282,,,,,11,28,0.282,,,,
Eddie Payne,USC Upstate,A-Sun,19,15,0.559,,,,2007-08,83,137,0.377,,,,,189,285,0.399,1,,,
Joey James,South Dakota,Summit,12,18,0.4,,,,2013-14,12,18,0.4,,,,,12,18,0.4,,,,
Scott Nagy,South Dakota State,Summit,19,13,0.594,,,,2005-06,140,144,0.493,2,,,,140,144,0.493,2,,,
Stan Heath,South Florida,AAC,12,20,0.375,,,,2007-08,97,130,0.427,1,,,,209,207,0.502,4,1,,
Dickey Nutt*,Southeast Missouri State,OVC,18,14,0.562,,,,2009-10,67,91,0.424,,,,,256,278,0.479,1,,,
Jim Yarbrough,Southeastern Louisiana,Southland,12,18,0.4,,,,2005-06,133,135,0.496,,,,,133,135,0.496,,,,
Roman Banks,Southern,SWAC,19,13,0.594,,,,2011-12,59,37,0.615,1,,,,59,37,0.615,1,,,
Andy Enfield,USC,Pac-12,11,21,0.344,,,,2013-14,11,21,0.344,,,,,52,49,0.515,1,1,,
Barry Hinson,Southern Illinois,MVC,14,19,0.424,,,,2012-13,28,36,0.438,,,,,233,176,0.57,,,,
Lennox Forrester,SIU-Edwardsville,OVC,11,20,0.355,,,,2008-09,53,119,0.308,,,,,53,119,0.308,,,,
Larry Brown*,SMU,AAC,27,10,0.73,,,,2012-13,42,27,0.609,,,,,219,88,0.713,7,4,3,1
Donnie Tyndall*,Southern Miss,CUSA,29,7,0.806,,,,2012-13,56,17,0.767,,,,,170,102,0.625,2,,,
Nick Robinson,Southern Utah,Big Sky,2,27,0.069,,,,2012-13,13,47,0.217,,,,,13,47,0.217,,,,
Mark Schmidt,St. Bonaventure,A-10,18,15,0.545,,,,2007-08,106,110,0.491,1,,,,188,200,0.485,1,,,
Glenn Braica,St. Francis (NY),NEC,18,14,0.562,,,,2010-11,60,62,0.492,,,,,60,62,0.492,,,,
Steve Lavin,St. John's (NY),Big East,20,13,0.606,,,,2010-11,71,60,0.542,1,,,,216,138,0.61,7,5,,
Johnny Dawkins,Stanford,Pac-12,23,13,0.639,,,Lost Regional Semifinal,2008-09,117,87,0.574,1,1,,,117,87,0.574,1,1,,
Brad Underwood,Stephen F. Austin,Southland,32,3,0.914,,,Lost Third Round,2013-14,32,3,0.914,1,,,,32,3,0.914,1,,,
Corey Williams,Stetson,A-Sun,7,24,0.226,,,,2013-14,7,24,0.226,,,,,7,24,0.226,,,,
Steve Pikiell,Stony Brook,AEC,23,11,0.676,,,,2005-06,143,137,0.511,,,,,143,137,0.511,,,,
Jim Boeheim*,Syracuse,ACC,28,6,0.824,8,14,Lost Third Round,1976-77,948,320,0.748,31,16,4,1,948,320,0.748,31,16,4,1
Fran Dunphy,Temple,AAC,9,22,0.29,,,,2006-07,167,97,0.633,6,,,,477,260,0.647,15,,,
Cuonzo Martin,Tennessee,SEC,24,13,0.649,,,Lost Regional Semifinal,2011-12,63,41,0.606,1,1,,,124,82,0.602,1,1,,
Jason James,UT-Martin,OVC,8,23,0.258,,,,2009-10,37,117,0.24,,,,,37,117,0.24,,,,
Travis Williams,Tennessee State,OVC,5,25,0.167,,,,2012-13,23,40,0.365,,,,,23,40,0.365,,,,
Steve Payne,Tennessee Tech,OVC,17,16,0.515,,,,2011-12,48,47,0.505,,,,,48,47,0.505,,,,
Rick Barnes,Texas,Big 12,24,11,0.686,,,Lost Third Round,1998-99,382,166,0.697,15,5,1,,584,300,0.661,21,6,1,
Billy Kennedy,Texas A&M,SEC,18,16,0.529,,,,2011-12,50,49,0.505,,,,,261,228,0.534,2,,,
Willis Wilson,Texas A&M-Corpus Christi,Southland,18,16,0.529,,,,2011-12,30,63,0.323,,,,,248,310,0.444,,,,
Scott Cross,Texas-Arlington,Sun Belt,15,17,0.469,,,,2006-07,137,113,0.548,1,,,,137,113,0.548,1,,,
Trent Johnson,TCU,Big 12,9,22,0.29,,,,2012-13,20,43,0.317,,,,,246,229,0.518,5,2,,
Tim Floyd*,UTEP,CUSA,23,11,0.676,,,,2010-11,81,52,0.609,,,,,408,233,0.637,8,2,,
Dan Hipsher,Texas-Rio Grande Valley,WAC,9,23,0.281,,,,2013-14,9,23,0.281,,,,,150,187,0.445,,,,
Brooks Thompson,UTSA,CUSA,8,22,0.267,,,,2006-07,114,135,0.458,1,,,,114,135,0.458,1,,,
Mike Davis,Texas Southern,SWAC,19,15,0.559,,,,2012-13,36,29,0.554,1,,,,273,181,0.601,6,1,1,
Danny Kaspar,Texas State,Sun Belt,8,23,0.258,,,,2013-14,8,23,0.258,,,,,254,164,0.608,1,,,
Tubby Smith,Texas Tech,Big 12,14,18,0.438,,,,2013-14,14,18,0.438,,,,,525,244,0.683,17,9,1,1
Tod Kowalczyk,Toledo,MAC,27,7,0.794,,,,2010-11,65,65,0.5,,,,,201,177,0.532,,,,
Pat Skerry,Towson,CAA,25,11,0.694,,,,2011-12,44,55,0.444,,,,,44,55,0.444,,,,
Phil Cunningham,Troy,Sun Belt,11,20,0.355,,,,2013-14,11,20,0.355,,,,,11,20,0.355,,,,
Ed Conroy,Tulane,CUSA,17,17,0.5,,,,2010-11,65,65,0.5,,,,,114,141,0.447,,,,
Danny Manning,Tulsa,CUSA,21,13,0.618,,,Lost Second Round,2012-13,38,29,0.567,1,,,,38,29,0.567,1,,,
Steve Alford,UCLA,Pac-12,28,9,0.757,22,20,Lost Regional Semifinal,2013-14,28,9,0.757,1,1,,,413,215,0.658,8,2,,
Larry Krystkowiak,Utah,Pac-12,21,12,0.636,,,,2011-12,42,55,0.433,,,,,84,75,0.528,2,,,
Stew Morrill,Utah State,MWC,18,14,0.562,,,,1998-99,384,143,0.729,8,,,,602,281,0.682,9,,,
Dick Hunsaker,Utah Valley,WAC,20,12,0.625,,,,2004-05,171,129,0.57,,,,,286,175,0.62,2,1,,
Bryce Drew,Valparaiso,Horizon,18,16,0.529,,,,2011-12,66,36,0.647,1,,,,66,36,0.647,1,,,
Kevin Stallings,Vanderbilt,SEC,15,16,0.484,,,,1999-00,292,192,0.603,6,2,,,415,255,0.619,8,2,,
John Becker,Vermont,AEC,22,11,0.667,,,,2011-12,67,35,0.657,1,,,,67,35,0.657,1,,,
Jay Wright,Villanova,Big East,29,5,0.853,,6,Lost Third Round,2001-02,286,149,0.657,9,4,1,,408,234,0.636,11,4,1,
Tony Bennett,Virginia,ACC,30,7,0.811,24,3,Lost Regional Semifinal,2009-10,106,60,0.639,2,1,,,175,93,0.653,4,2,,
Shaka Smart,VCU,A-10,26,9,0.743,14,24,Lost Second Round,2009-10,137,46,0.749,4,1,1,,137,46,0.749,4,1,1,
Duggar Baucom,VMI,Big South,22,13,0.629,,,,2005-06,140,140,0.5,,,,,140,140,0.5,,,,
James Johnson,Virginia Tech,ACC,9,22,0.29,,,,2012-13,22,41,0.349,,,,,22,41,0.349,,,,
Bashir Mason,Wagner,NEC,19,12,0.613,,,,2012-13,38,24,0.613,,,,,38,24,0.613,,,,
Jeff Bzdelik,Wake Forest,ACC,17,16,0.515,,,,2010-11,51,76,0.402,,,,,162,181,0.472,1,,,
Lorenzo Romar,Washington,Pac-12,17,15,0.531,,,,2002-03,254,144,0.638,6,3,,,347,232,0.599,7,3,,
Ken Bone,Washington State,Pac-12,10,21,0.323,,,,2009-10,80,86,0.482,,,,,157,135,0.538,2,,,
Randy Rahe,Weber State,Big Sky,19,12,0.613,,,Lost Second Round,2006-07,169,87,0.66,2,,,,169,87,0.66,2,,,
Bob Huggins,West Virginia,Big 12,17,16,0.515,,,,2007-08,150,91,0.622,5,2,1,,668,277,0.707,20,6,2,
Larry Hunter,Western Carolina,Southern,19,15,0.559,,,,2005-06,140,152,0.479,,,,,344,300,0.534,1,,,
Jim Molinari,Western Illinois,Summit,10,20,0.333,,,,2008-09,79,104,0.432,,,,,302,290,0.51,2,,,
Ray Harper,Western Kentucky,Sun Belt,20,12,0.625,,,,2011-12,51,36,0.586,2,,,,51,36,0.586,2,,,
Steve Hawkins,Western Michigan,MAC,23,10,0.697,,,Lost Second Round,2003-04,204,155,0.568,2,,,,204,155,0.568,2,,,
Gregg Marshall,Wichita State,MVC,35,1,0.972,16,2,Lost Third Round,2007-08,174,71,0.71,3,1,1,,368,154,0.705,10,1,1,
Tony Shaver,William & Mary,CAA,20,12,0.625,,,,2003-04,136,201,0.404,,,,,136,201,0.404,,,,
Pat Kelsey,Winthrop,Big South,20,13,0.606,,,,2012-13,34,30,0.531,,,,,34,30,0.531,,,,
Bo Ryan,Wisconsin,Big Ten,30,8,0.789,20,12,Lost National Semifinal,2001-02,321,121,0.726,13,6,1,,351,148,0.703,13,6,1,
Mike Young,Wofford,Southern,20,13,0.606,,,Lost Second Round,2002-03,189,185,0.505,3,,,,189,185,0.505,3,,,
Billy Donlon,Wright State,Horizon,21,15,0.583,,,,2010-11,76,61,0.555,,,,,76,61,0.555,,,,
Larry Shyatt,Wyoming,MWC,18,15,0.545,,,,1997-98,78,50,0.609,,,,,148,134,0.525,,,,
Chris Mack,Xavier,Big East,21,13,0.618,,,,2009-10,111,57,0.661,4,2,,,111,57,0.661,4,2,,
James Jones,Yale,Ivy,19,14,0.576,,,,1999-00,209,222,0.485,,,,,209,222,0.485,,,,
Jerry Slocum,Youngstown State,Horizon,15,17,0.469,,,,2005-06,107,169,0.388,,,,,107,169,0.388,,,,
