Coach,School,Conference,W_2017,L_2017,W-L%_2017,AP_Pre_2017,AP_Post_2017,NCAA_Tournament_2017,Since_2017,W_Career_2017,L_Career_2017,W-L%_Career_2017,NCAA_Career_2017,S16_Career_2017,FF_Career_2017,Chmp_Career_2017,W_Overall_2017,L_Overall_2017,W-L%_Overall_2017,NCAA_Overall_2017,S16_Overall_2017,FF_Overall_2017,Chmp_Overall_2017
Kevin McGeehan,Campbell,Big South,18,16,0.529,,,,2013-14,71,94,0.43,,,,,71,94,0.43,,,,
Reggie Witherspoon,Canisius,MAAC,21,12,0.636,,,,2016-17,39,28,0.582,,,,,237,256,0.481,,,,
Russ Pennell,Central Arkansas,Southland,18,17,0.514,,,,2014-15,35,89,0.282,,,,,56,103,0.352,1,1,,
Donyell Marshall,Central Connecticut,NEC,14,18,0.438,,,,2016-17,20,41,0.328,,,,,20,41,0.328,,,,
Johnny Dawkins,UCF,AAC,19,13,0.594,,,,2016-17,43,25,0.632,,,,,199,140,0.587,1,1,,
Keno Davis,Central Michigan,MAC,21,15,0.583,,,,2012-13,98,97,0.503,,,,,172,152,0.531,1,,,
Barclay Radebaugh,Charleston Southern,Big South,15,16,0.484,,,,2005-06,175,222,0.441,,,,,175,222,0.441,,,,
Houston Fancher,Charlotte,CUSA,3,17,0.15,,,,2017-18,3,17,0.15,,,,,140,153,0.478,,,,
Mark Price,Charlotte,CUSA,3,6,0.333,,,,2015-16,30,42,0.417,,,,,30,42,0.417,,,,
Lamont Paris,Chattanooga,Southern,10,23,0.303,,,,2017-18,10,23,0.303,,,,,10,23,0.303,,,,
Tracy Dildy,Chicago State,WAC,3,29,0.094,,,,2010-11,55,200,0.216,,,,,55,200,0.216,,,,
Mick Cronin,Cincinnati,AAC,31,5,0.861,12,6,Lost Second Round,2006-07,268,140,0.657,8,1,,,337,164,0.673,10,1,,
Duggar Baucom,Citadel,Southern,11,21,0.344,,,,2015-16,33,64,0.34,,,,,184,223,0.452,,,,
Brad Brownell,Clemson,ACC,25,10,0.714,,20,Lost Regional Semifinal,2010-11,149,113,0.569,2,1,,,316,198,0.615,5,1,,
Dennis Felton,Cleveland State,Horizon,12,23,0.343,,,,2017-18,12,23,0.343,,,,,196,168,0.538,4,,,
Cliff Ellis,Coastal Carolina,Sun Belt,14,18,0.438,,,,2007-08,213,147,0.592,2,,,,749,485,0.607,10,3,,
Matt Langel,Colgate,Patriot,19,14,0.576,,,,2011-12,90,131,0.407,,,,,90,131,0.407,,,,
Earl Grant,College of Charleston,CAA,26,8,0.765,,,Lost First Round,2014-15,77,56,0.579,1,,,,77,56,0.579,1,,,
Tad Boyle,Colorado,Pac-12,17,15,0.531,,,,2010-11,166,110,0.601,4,,,,222,176,0.558,4,,,
Larry Eustachy,Colorado State,MWC,11,21,0.344,,,,2012-13,122,81,0.601,1,,,,524,339,0.607,5,1,,
Jim Engles,Columbia,Ivy,8,19,0.296,,,,2016-17,19,35,0.352,,,,,130,174,0.428,,,,
Kevin Ollie,UConn,AAC,14,18,0.438,,,,2012-13,127,79,0.617,2,1,1,1,127,79,0.617,2,1,1,1
Juan Dixon,Coppin State,MEAC,5,27,0.156,,,,2017-18,5,27,0.156,,,,,5,27,0.156,,,,
Brian Earl,Cornell,Ivy,12,16,0.429,,,,2016-17,20,37,0.351,,,,,20,37,0.351,,,,
Greg McDermott,Creighton,Big East,21,12,0.636,,,Lost First Round,2010-11,187,94,0.665,5,,,,336,225,0.599,8,,,
David McLaughlin,Dartmouth,Ivy,7,20,0.259,,,,2016-17,14,40,0.259,,,,,14,40,0.259,,,,
Bob McKillop,Davidson,A-10,21,12,0.636,,,Lost First Round,1989-90,554,340,0.62,9,1,,,554,340,0.62,9,1,,
Anthony Grant,Dayton,A-10,14,17,0.452,,,,2017-18,14,17,0.452,,,,,207,127,0.62,3,,,
Martin Ingelsby,Delaware,CAA,14,19,0.424,,,,2016-17,27,39,0.409,,,,,27,39,0.409,,,,
Keith Johnson,Delaware State,MEAC,1,3,0.25,,,,2017-18,1,3,0.25,,,,,1,3,0.25,,,,
Keith Walker,Delaware State,MEAC,3,25,0.107,,,,2013-14,43,96,0.309,,,,,43,96,0.309,,,,
Rodney Billups,Denver,Summit,15,15,0.5,,,,2016-17,31,29,0.517,,,,,31,29,0.517,,,,
Dave Leitao,DePaul,Big East,11,20,0.355,,,,2002-03,87,99,0.468,1,,,,172,194,0.47,2,,,
Bacari Alexander,Detroit,Horizon,8,24,0.25,,,,2016-17,16,47,0.254,,,,,16,47,0.254,,,,
Niko Medved,Drake,MVC,17,17,0.5,,,,2017-18,17,17,0.5,,,,,79,88,0.473,,,,
Zach Spiker,Drexel,CAA,13,20,0.394,,,,2016-17,22,43,0.338,,,,,124,155,0.444,,,,
Mike Krzyzewski,Duke,ACC,29,8,0.784,1,9,Lost Regional Final,1980-81,1027,279,0.786,34,24,12,5,1100,338,0.765,34,24,12,5
Keith Dambrot,Duquesne,A-10,16,16,0.5,,,,2017-18,16,16,0.5,,,,,341,189,0.643,3,,,
Jeff Lebo,East Carolina,AAC,2,4,0.333,,,,2010-11,116,122,0.487,,,,,327,278,0.54,,,,
Michael Perry,East Carolina,AAC,8,16,0.333,,,,2017-18,8,16,0.333,,,,,70,91,0.435,,,,
Steve Forbes,ETSU,Southern,25,9,0.735,,,,2015-16,76,29,0.724,1,,,,76,29,0.724,1,,,
Jay Spoonhour,Eastern Illinois,OVC,12,19,0.387,,,,2012-13,79,106,0.427,,,,,85,110,0.436,,,,
Dan McHale,Eastern Kentucky,OVC,11,20,0.355,,,,2015-16,38,55,0.409,,,,,38,55,0.409,,,,
Rob Murphy,Eastern Michigan,MAC,22,13,0.629,,,,2011-12,129,110,0.54,,,,,129,110,0.54,,,,
Shantay Legans,Eastern Washington,Big Sky,20,15,0.571,,,,2017-18,20,15,0.571,,,,,20,15,0.571,,,,
Matt Matheny,Elon,CAA,14,18,0.438,,,,2009-10,140,148,0.486,,,,,140,148,0.486,,,,
Marty Simmons,Evansville,MVC,17,15,0.531,,,,2007-08,184,175,0.513,,,,,184,175,0.513,,,,
Sydney Johnson,Fairfield,MAAC,17,16,0.515,,,,2011-12,107,125,0.461,,,,,173,178,0.493,1,,,
Greg Herenda,Fairleigh Dickinson,NEC,13,18,0.419,,,,2013-14,60,94,0.39,1,,,,60,94,0.39,1,,,
Michael White,Florida,SEC,21,13,0.618,8,23,Lost Second Round,2015-16,69,37,0.651,2,1,,,170,77,0.688,2,1,,
Robert McCullum,Florida A&M,MEAC,9,25,0.265,,,,2017-18,9,25,0.265,,,,,93,146,0.389,,,,
Michael Curry,Florida Atlantic,CUSA,12,19,0.387,,,,2014-15,39,84,0.317,,,,,39,84,0.317,,,,
Joe Dooley,Florida Gulf Coast,A-Sun,23,12,0.657,,,,2013-14,114,58,0.663,2,,,,171,110,0.609,2,,,
Anthony Evans,Florida International,CUSA,14,18,0.438,,,,2013-14,65,94,0.409,,,,,164,188,0.466,1,,,
Leonard Hamilton*,Florida State,ACC,23,12,0.657,,,Lost Regional Final,2002-03,327,208,0.611,6,2,,,527,418,0.558,9,3,,
Jeff Neubauer,Fordham,A-10,9,22,0.29,,,,2015-16,39,55,0.415,,,,,227,189,0.546,2,,,
Rodney Terry,Fresno State,MWC,21,11,0.656,,,,2011-12,126,108,0.538,1,,,,126,108,0.538,1,,,
Bob Richey,Furman,Southern,23,10,0.697,,,,2017-18,23,10,0.697,,,,,23,10,0.697,,,,
Tim Craft,Gardner-Webb,Big South,14,18,0.438,,,,2013-14,88,78,0.53,,,,,88,78,0.53,,,,
Dave Paulsen,George Mason,A-10,16,17,0.485,,,,2015-16,47,52,0.475,,,,,181,146,0.554,2,,,
Maurice Joseph,George Washington,A-10,15,18,0.455,,,,2016-17,35,33,0.515,,,,,35,33,0.515,,,,
Patrick Ewing,Georgetown,Big East,15,15,0.5,,,,2017-18,15,15,0.5,,,,,15,15,0.5,,,,
Mark Fox,Georgia,SEC,18,15,0.545,,,,2009-10,163,133,0.551,2,,,,286,176,0.619,5,,,
Mark Byington,Georgia Southern,Sun Belt,21,12,0.636,,,,2013-14,90,72,0.556,,,,,90,72,0.556,,,,
Ron Hunter,Georgia State,Sun Belt,24,11,0.686,,,Lost First Round,2011-12,147,85,0.634,2,,,,368,264,0.582,3,,,
Josh Pastner,Georgia Tech,ACC,13,19,0.406,,,,2016-17,34,35,0.493,,,,,201,108,0.65,4,,,
Mark Few,Gonzaga,WCC,32,5,0.865,18,8,Lost Regional Semifinal,1999-00,535,118,0.819,19,8,1,,535,118,0.819,19,8,1,
Donte Jackson,Grambling,SWAC,17,14,0.548,,,,2017-18,17,14,0.548,,,,,17,14,0.548,,,,
Dan Majerle,Grand Canyon,WAC,22,12,0.647,,,,2013-14,103,58,0.64,,,,,103,58,0.64,,,,
Linc Darner,Green Bay,Horizon,13,20,0.394,,,,2015-16,54,47,0.535,1,,,,54,47,0.535,1,,,
Edward Joyner,Hampton,MEAC,18,16,0.529,,,,2009-10,152,140,0.521,3,,,,152,140,0.521,3,,,
John Gallagher,Hartford,AEC,19,14,0.576,,,,2010-11,106,148,0.417,,,,,106,148,0.417,,,,
Tommy Amaker,Harvard,Ivy,18,14,0.562,,,,2007-08,211,119,0.639,4,,,,387,258,0.6,5,1,,
Eran Ganot,Hawaii,Big West,17,13,0.567,,,,2015-16,59,35,0.628,1,,,,62,37,0.626,1,,,
Scott Cherry,High Point,Big South,14,16,0.467,,,,2009-10,146,134,0.521,,,,,146,134,0.521,,,,
Joe Mihalich,Hofstra,CAA,19,12,0.613,,,,2013-14,88,76,0.537,,,,,353,279,0.559,2,,,
Bill Carmody,Holy Cross,Patriot,12,19,0.387,,,,2015-16,42,56,0.429,1,,,,326,291,0.528,3,,,
Kelvin Sampson,Houston,AAC,27,8,0.771,,21,Lost Second Round,2014-15,83,48,0.634,1,,,,508,275,0.649,15,3,1,
Ron Cottrell,Houston Baptist,Southland,6,25,0.194,,,,2008-09,104,206,0.335,,,,,104,206,0.335,,,,
Kevin Nickelberry,Howard,MEAC,10,23,0.303,,,,2010-11,79,177,0.309,,,,,128,221,0.367,,,,
Don Verlin,Idaho,Big Sky,22,9,0.71,,,,2008-09,172,149,0.536,,,,,172,149,0.536,,,,
Bill Evans,Idaho State,Big Sky,14,16,0.467,,,,2012-13,59,122,0.326,,,,,267,345,0.436,1,,,
Brad Underwood,Illinois,Big Ten,14,18,0.438,,,,2017-18,14,18,0.438,,,,,123,45,0.732,4,,,
Steve McClain,UIC,Horizon,20,16,0.556,,,,2015-16,42,60,0.412,,,,,199,175,0.532,1,,,
Dan Muller,Illinois State,MVC,18,15,0.545,,,,2012-13,122,80,0.604,,,,,122,80,0.604,,,,
Ken Burmeister,Incarnate Word,Southland,7,21,0.25,,,,2013-14,75,67,0.528,,,,,187,182,0.507,1,,,
Archie Miller,Indiana,Big Ten,16,15,0.516,,,,2017-18,16,15,0.516,,,,,155,78,0.665,4,1,,
Greg Lansing,Indiana State,MVC,13,18,0.419,,,,2010-11,133,126,0.514,1,,,,133,126,0.514,1,,,
Tim Cluess,Iona,MAAC,20,14,0.588,,,Lost First Round,2010-11,182,92,0.664,5,,,,182,92,0.664,5,,,
Fran McCaffery,Iowa,Big Ten,14,19,0.424,,,,2010-11,151,120,0.557,3,,,,402,297,0.575,8,,,
Steve Prohm,Iowa State,Big 12,13,18,0.419,,,,2015-16,60,41,0.594,2,1,,,164,70,0.701,3,1,,
Jon Coffman,Fort Wayne,Summit,18,15,0.545,,,,2014-15,78,53,0.595,,,,,78,53,0.595,,,,
Jason Gardner,IUPUI,Horizon,11,19,0.367,,,,2014-15,48,77,0.384,,,,,48,77,0.384,,,,
Wayne Brent,Jackson State,SWAC,12,20,0.375,,,,2013-14,68,95,0.417,,,,,68,95,0.417,,,,
Tony Jasick,Jacksonville,A-Sun,15,18,0.455,,,,2014-15,58,72,0.446,,,,,110,119,0.48,,,,
Ray Harper,Jacksonville State,OVC,23,13,0.639,,,,2016-17,43,28,0.606,1,,,,132,92,0.589,3,,,
Louis Rowe,James Madison,CAA,10,22,0.312,,,,2016-17,20,45,0.308,,,,,20,45,0.308,,,,
Bill Self,Kansas,Big 12,31,8,0.795,4,4,Lost National Semifinal,2003-04,447,96,0.823,15,10,3,1,654,201,0.765,20,13,3,1
Bruce Weber,Kansas State,Big 12,25,12,0.676,,,Lost Regional Final,2012-13,125,80,0.61,4,1,,,438,235,0.651,12,4,1,
Al Skinner,Kennesaw State,A-Sun,10,20,0.333,,,,2015-16,35,58,0.376,,,,,420,349,0.546,9,1,,
Rob Senderoff,Kent State,MAC,17,17,0.5,,,,2011-12,139,98,0.586,1,,,,139,98,0.586,1,,,
John Calipari*,Kentucky,SEC,26,11,0.703,5,18,Lost Regional Semifinal,2009-10,275,64,0.811,8,7,4,1,720,204,0.779,19,14,6,1
John Giannini,La Salle,A-10,13,19,0.406,,,,2004-05,212,226,0.484,1,1,,,337,337,0.5,1,1,,
Fran O'Hanlon,Lafayette,Patriot,10,21,0.323,,,,1995-96,313,375,0.455,3,,,,313,375,0.455,3,,,
Tic Price,Lamar,Southland,19,14,0.576,,,,2013-14,65,67,0.492,,,,,232,189,0.551,2,,,
Brett Reed,Lehigh,Patriot,16,14,0.533,,,,2007-08,198,146,0.576,2,,,,198,146,0.576,2,,,
Ritchie McKay,Liberty,Big South,22,15,0.595,,,,2007-08,95,76,0.556,,,,,260,234,0.526,1,,,
Casey Alexander,Lipscomb,A-Sun,23,10,0.697,,,Lost First Round,2013-14,84,76,0.525,1,,,,108,112,0.491,1,,,
Dan Monson,Long Beach State,Big West,15,18,0.455,,,,2007-08,185,177,0.511,1,,,,355,300,0.542,3,1,,
Derek Kellogg,LIU-Brooklyn,NEC,18,17,0.514,,,,2017-18,18,17,0.514,1,,,,173,154,0.529,2,,,
Jayson Gee,Longwood,Big South,7,26,0.212,,,,2013-14,42,120,0.259,,,,,42,120,0.259,,,,
Bob Marlin,Louisiana,Sun Belt,27,7,0.794,,,,2010-11,155,111,0.583,1,,,,380,242,0.611,3,,,
Keith Richard,Louisiana-Monroe,Sun Belt,16,16,0.5,,,,2010-11,93,158,0.371,,,,,243,275,0.469,,,,
Will Wade,LSU,SEC,18,15,0.545,,,,2017-18,18,15,0.545,,,,,109,60,0.645,2,,,
Eric Konkol,Louisiana Tech,CUSA,17,16,0.515,,,,2015-16,63,36,0.636,,,,,63,36,0.636,,,,
David Padgett,Louisville,ACC,22,14,0.611,16,,,2017-18,22,14,0.611,,,,,22,14,0.611,,,,
Porter Moser,Loyola (IL),MVC,32,6,0.842,,,Lost National Semifinal,2011-12,121,111,0.522,1,1,1,,226,212,0.516,1,1,1,
Mike Dunlap,Loyola Marymount,WCC,11,20,0.355,,,,2014-15,48,75,0.39,,,,,48,75,0.39,,,,
G.G. Smith,Loyola (MD),Patriot,9,22,0.29,,,,2013-14,56,98,0.364,,,,,56,98,0.364,,,,
Bob Walsh,Maine,AEC,6,26,0.188,,,,2014-15,24,100,0.194,,,,,24,100,0.194,,,,
Steve Masiello,Manhattan,MAAC,14,17,0.452,,,,2011-12,116,110,0.513,2,,,,116,110,0.513,2,,,
Mike Maker,Marist,MAAC,6,25,0.194,,,,2014-15,28,97,0.224,,,,,28,97,0.224,,,,
Steve Wojciechowski,Marquette,Big East,21,14,0.6,,,,2014-15,73,59,0.553,1,,,,73,59,0.553,1,,,
Dan D'Antoni,Marshall,CUSA,25,11,0.694,,,Lost Second Round,2014-15,73,63,0.537,1,,,,73,63,0.537,1,,,
Mark Turgeon,Maryland,Big Ten,19,13,0.594,,,,2011-12,157,81,0.66,3,1,,,407,240,0.629,8,2,,
Ryan Odom,UMBC,AEC,25,11,0.694,,,Lost Second Round,2016-17,46,24,0.657,1,,,,54,35,0.607,1,,,
Bobby Collins,Maryland-Eastern Shore,MEAC,7,25,0.219,,,,2014-15,49,82,0.374,,,,,151,220,0.407,1,,,
Matt McCall,UMass,A-10,13,20,0.394,,,,2017-18,13,20,0.394,,,,,61,38,0.616,1,,,
Pat Duquette,UMass-Lowell,AEC,12,18,0.4,,,,2013-14,56,91,0.381,,,,,56,91,0.381,,,,
Dave Simmons,McNeese State,Southland,12,17,0.414,,,,2006-07,155,211,0.423,,,,,155,211,0.423,,,,
Tubby Smith,Memphis,AAC,21,13,0.618,,,,2016-17,40,26,0.606,,,,,597,302,0.664,18,9,1,1
Bob Hoffman,Mercer,Southern,19,15,0.559,,,,2008-09,198,145,0.577,1,,,,266,222,0.545,1,,,
Jim Larranaga,Miami (FL),ACC,22,10,0.688,13,22,Lost First Round,2011-12,161,79,0.671,4,2,,,603,388,0.608,9,3,1,
Jack Owens,Miami (OH),MAC,16,18,0.471,,,,2017-18,16,18,0.471,,,,,16,18,0.471,,,,
John Beilein,Michigan,Big Ten,33,8,0.805,,7,Lost National Final,2007-08,248,143,0.634,8,4,2,,541,318,0.63,12,6,2,
Tom Izzo,Michigan State,Big Ten,30,5,0.857,2,5,Lost Second Round,1995-96,574,225,0.718,21,13,7,1,574,225,0.718,21,13,7,1
Kermit Davis,Middle Tennessee,CUSA,25,8,0.758,,,,2002-03,332,188,0.638,3,,,,403,238,0.629,5,,,
Pat Baldwin,Milwaukee,Horizon,16,17,0.485,,,,2017-18,16,17,0.485,,,,,16,17,0.485,,,,
Richard Pitino,Minnesota,Big Ten,15,17,0.469,15,,,2013-14,90,78,0.536,1,,,,108,92,0.54,1,,,
Andy Kennedy,Ole Miss,SEC,11,16,0.407,,,,2006-07,245,156,0.611,2,,,,266,169,0.611,2,,,
Tony Madlock,Ole Miss,SEC,1,4,0.2,,,,2017-18,1,4,0.2,,,,,1,4,0.2,,,,
Ben Howland,Mississippi State,SEC,25,12,0.676,,,,2015-16,55,45,0.55,,,,,454,253,0.642,10,5,3,
Andre Payne,Mississippi Valley State,SWAC,4,28,0.125,,,,2014-15,25,106,0.191,,,,,25,106,0.191,,,,
Cuonzo Martin,Missouri,SEC,20,13,0.606,,,Lost First Round,2017-18,20,13,0.606,1,,,,206,134,0.606,3,1,,
Kareem Richardson,UMKC,WAC,10,22,0.312,,,,2013-14,64,97,0.398,,,,,64,97,0.398,,,,
Paul Lusk,Missouri State,MVC,18,15,0.545,,,,2011-12,106,121,0.467,,,,,106,121,0.467,,,,
King Rice,Monmouth,MAAC,11,20,0.355,,,,2011-12,117,112,0.511,,,,,117,112,0.511,,,,
Travis DeCuire,Montana,Big Sky,26,8,0.765,,,Lost First Round,2014-15,83,49,0.629,1,,,,83,49,0.629,1,,,
Brian Fish,Montana State,Big Sky,13,19,0.406,,,,2014-15,50,75,0.4,,,,,50,75,0.4,,,,
Preston Spradlin,Morehead State,OVC,8,21,0.276,,,,2016-17,20,30,0.4,,,,,20,30,0.4,,,,
Todd Bozeman*,Morgan State,MEAC,13,18,0.419,,,,2006-07,186,196,0.487,2,,,,249,231,0.519,5,1,,
Jamion Christian,Mount St. Mary's,NEC,18,14,0.562,,,,2012-13,101,95,0.515,2,,,,101,95,0.515,2,,,
Matt McMahon,Murray State,OVC,26,6,0.812,,,Lost First Round,2015-16,59,37,0.615,1,,,,59,37,0.615,1,,,
Ed DeChellis,Navy,Patriot,20,12,0.625,,,,2011-12,88,131,0.402,,,,,307,362,0.459,2,,,
Tim Miles,Nebraska,Big Ten,22,11,0.667,,,,2012-13,97,97,0.5,1,,,,204,205,0.499,2,,,
Derrin Hansen,Omaha,Summit,9,22,0.29,,,,2012-13,85,102,0.455,,,,,85,102,0.455,,,,
Eric Musselman,Nevada,MWC,29,8,0.784,,24,Lost Regional Semifinal,2015-16,81,29,0.736,2,1,,,81,29,0.736,2,1,,
Marvin Menzies,UNLV,MWC,20,13,0.606,,,,2016-17,31,34,0.477,,,,,229,145,0.612,5,,,
Bill Herrion,New Hampshire,AEC,10,21,0.323,,,,2005-06,167,227,0.424,,,,,404,396,0.505,3,,,
Paul Weir,New Mexico,MWC,19,15,0.559,,,,2017-18,19,15,0.559,,,,,47,21,0.691,1,,,
Chris Jans,New Mexico State,WAC,28,6,0.824,,,Lost First Round,2017-18,28,6,0.824,1,,,,49,18,0.731,1,,,
Mark Slessinger,New Orleans,Southland,16,17,0.485,,,,2012-13,76,100,0.432,1,,,,76,100,0.432,1,,,
Chris Casey,Niagara,MAAC,19,14,0.576,,,,2013-14,51,110,0.317,,,,,51,110,0.317,,,,
Richie Riley,Nicholls State,Southland,21,11,0.656,,,,2016-17,35,28,0.556,,,,,35,28,0.556,,,,
Brian Kennedy,NJIT,A-Sun,14,16,0.467,,,,2016-17,25,36,0.41,,,,,25,36,0.41,,,,
Robert Jones,Norfolk State,MEAC,14,19,0.424,,,,2013-14,87,82,0.515,,,,,87,82,0.515,,,,
Roy Williams,UNC,ACC,26,11,0.703,9,10,Lost Second Round,2003-04,424,126,0.771,14,9,5,3,842,227,0.788,28,18,9,3
Nick McDevitt,UNC Asheville,Big South,21,13,0.618,,,,2013-14,98,66,0.598,1,,,,98,66,0.598,1,,,
Jay Joyner,North Carolina A&T,MEAC,20,15,0.571,,,,2015-16,28,49,0.364,,,,,28,49,0.364,,,,
LeVelle Moton,North Carolina Central,MEAC,19,16,0.543,,,,2009-10,171,119,0.59,3,,,,171,119,0.59,3,,,
Wes Miller,UNC Greensboro,Southern,27,8,0.771,,,Lost First Round,2011-12,112,110,0.505,1,,,,112,110,0.505,1,,,
Kevin Keatts,NC State,ACC,21,12,0.636,,,Lost First Round,2017-18,21,12,0.636,1,,,,93,40,0.699,3,,,
C.B. McGrath,UNC Wilmington,CAA,11,21,0.344,,,,2017-18,11,21,0.344,,,,,11,21,0.344,,,,
Brian Jones,North Dakota,Big Sky,12,20,0.375,,,,2009-10,136,155,0.467,1,,,,136,155,0.467,1,,,
