,Coach,School_x,Conference_x,W_2013,L_2013,W-L%_2013,AP_Pre_2013,AP_Post_2013,NCAA_Tournament_2013,Since_2013,W_Career_2013,L_Career_2013,W-L%_Career_2013,NCAA_Career_2013,S16_Career_2013,FF_Career_2013,Chmp_Career_2013,W_Overall_2013,L_Overall_2013,W-L%_Overall_2013,NCAA_Overall_2013,S16_Overall_2013,FF_Overall_2013,Chmp_Overall_2013,School_y,Conference_y,W_2014,L_2014,W-L%_2014,AP_Pre_2014,AP_Post_2014,NCAA_Tournament_2014,Since_2014,W_Career_2014,L_Career_2014,W-L%_Career_2014,NCAA_Career_2014,S16_Career_2014,FF_Career_2014,Chmp_Career_2014,W_Overall_2014,L_Overall_2014,W-L%_Overall_2014,NCAA_Overall_2014,S16_Overall_2014,FF_Overall_2014,Chmp_Overall_2014,School_x,Conference_x,W_2015,L_2015,W-L%_2015,AP_Pre_2015,AP_Post_2015,NCAA_Tournament_2015,Since_2015,W_Career_2015,L_Career_2015,W-L%_Career_2015,NCAA_Career_2015,S16_Career_2015,FF_Career_2015,Chmp_Career_2015,W_Overall_2015,L_Overall_2015,W-L%_Overall_2015,NCAA_Overall_2015,S16_Overall_2015,FF_Overall_2015,Chmp_Overall_2015,School_y,Conference_y,W_2016,L_2016,W-L%_2016,AP_Pre_2016,AP_Post_2016,NCAA_Tournament_2016,Since_2016,W_Career_2016,L_Career_2016,W-L%_Career_2016,NCAA_Career_2016,S16_Career_2016,FF_Career_2016,Chmp_Career_2016,W_Overall_2016,L_Overall_2016,W-L%_Overall_2016,NCAA_Overall_2016,S16_Overall_2016,FF_Overall_2016,Chmp_Overall_2016,School,Conference,W_2017,L_2017,W-L%_2017,AP_Pre_2017,AP_Post_2017,NCAA_Tournament_2017,Since_2017,W_Career_2017,L_Career_2017,W-L%_Career_2017,NCAA_Career_2017,S16_Career_2017,FF_Career_2017,Chmp_Career_2017,W_Overall_2017,L_Overall_2017,W-L%_Overall_2017,NCAA_Overall_2017,S16_Overall_2017,FF_Overall_2017,Chmp_Overall_2017,FIRED?,WHEN
24,Tommy Dempsey,Binghamton,AEC,7,23,0.233,,,,2012-13,10,50,0.167,,,,,129,155,0.454,,,,,Binghamton,AEC,6,26,0.188,,,,2012-13,16,76,0.174,,,,,135,181,0.427,,,,,Binghamton,AEC,8,22,0.267,,,,2012-13,24,98,0.197,,,,,143,203,0.413,,,,,Binghamton,AEC,12,20,0.375,,,,2012-13,36,118,0.234,,,,,155,223,0.41,,,,,Binghamton,AEC,11,20,0.355,,,,2012-13,47,138,0.254,,,,,166,243,0.406,,,,,N,
25,Leon Rice,Boise State,MWC,21,13,0.618,,,,2010-11,77,54,0.588,1,,,,77,54,0.588,1,,,,Boise State,MWC,25,9,0.735,,,,2010-11,102,63,0.618,2,,,,102,63,0.618,2,,,,Boise State,MWC,20,12,0.625,,,,2010-11,122,75,0.619,2,,,,122,75,0.619,2,,,,Boise State,MWC,20,12,0.625,,,,2010-11,142,87,0.62,2,,,,142,87,0.62,2,,,,Boise State,MWC,23,9,0.719,,,,2010-11,165,96,0.632,2,,,,165,96,0.632,2,,,,N,
26,Steve Donahue,Boston College,ACC,8,24,0.25,,,,2010-11,54,76,0.415,,,,,200,214,0.483,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,Penn,Ivy,11,17,0.393,,,,2015-16,11,17,0.393,,,,,211,231,0.477,3,1,,,Penn,Ivy,13,15,0.464,,,,2015-16,24,32,0.429,,,,,224,246,0.477,3,1,,,Penn,Ivy,24,9,0.727,,,Lost First Round,2015-16,48,41,0.539,1,,,,248,255,0.493,4,1,,,Y,2014
27,Joe Jones,Boston University,Patriot,24,11,0.686,,,,2011-12,57,40,0.588,,,,,143,148,0.491,,,,,Boston University,Patriot,13,17,0.433,,,,2011-12,70,57,0.551,,,,,156,165,0.486,,,,,Boston University,Patriot,19,15,0.559,,,,2011-12,89,72,0.553,,,,,175,180,0.493,,,,,Boston University,Patriot,18,14,0.562,,,,2011-12,107,86,0.554,,,,,193,194,0.499,,,,,Boston University,Patriot,15,16,0.484,,,,2011-12,122,102,0.545,,,,,208,210,0.498,,,,,N,
28,Louis Orr,Bowling Green State,MAC,12,20,0.375,,,,2007-08,101,121,0.455,,,,,201,201,0.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2014
29,Geno Ford,Bradley,MVC,12,20,0.375,,,,2011-12,37,62,0.374,,,,,105,99,0.515,,,,,Bradley,MVC,9,24,0.273,,,,2011-12,46,86,0.348,,,,,114,123,0.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2015
30,Dave Rose,BYU,WCC,23,12,0.657,,,Lost Second Round,2005-06,232,78,0.748,7,1,,,232,78,0.748,7,1,,,BYU,WCC,25,10,0.714,,,,2005-06,257,88,0.745,8,1,,,257,88,0.745,8,1,,,BYU,WCC,26,11,0.703,,,,2005-06,283,99,0.741,8,1,,,283,99,0.741,8,1,,,BYU,WCC,22,12,0.647,,,,2005-06,305,111,0.733,8,1,,,305,111,0.733,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,N,
31,Mike Martin,Brown,Ivy,15,14,0.517,,,,2012-13,28,29,0.491,,,,,28,29,0.491,,,,,Brown,Ivy,13,18,0.419,,,,2012-13,41,47,0.466,,,,,41,47,0.466,,,,,Brown,Ivy,8,20,0.286,,,,2012-13,49,67,0.422,,,,,49,67,0.422,,,,,Brown,Ivy,13,17,0.433,,,,2012-13,62,84,0.425,,,,,62,84,0.425,,,,,Brown,Ivy,11,16,0.407,,,,2012-13,73,100,0.422,,,,,73,100,0.422,,,,,N,
32,Tim O'Shea,Bryant,NEC,18,14,0.562,,,,2008-09,57,125,0.313,,,,,177,220,0.446,1,,,,Bryant,NEC,16,15,0.516,,,,2008-09,73,140,0.343,,,,,193,235,0.451,1,,,,Bryant,NEC,8,23,0.258,,,,2008-09,81,163,0.332,,,,,201,258,0.438,1,,,,Bryant,NEC,12,20,0.375,,,,2008-09,93,183,0.337,,,,,213,278,0.434,1,,,,Bryant,NEC,3,28,0.097,,,,2008-09,96,211,0.313,,,,,216,306,0.414,1,,,,N,
33,Dave Paulsen,Bucknell,Patriot,16,14,0.533,,,,2008-09,115,79,0.593,2,,,,115,79,0.593,2,,,,Bucknell,Patriot,19,15,0.559,,,,2008-09,134,94,0.588,2,,,,134,94,0.588,2,,,,George Mason,A-10,11,21,0.344,,,,2015-16,11,21,0.344,,,,,145,115,0.558,2,,,,George Mason,A-10,20,14,0.588,,,,2015-16,31,35,0.47,,,,,165,129,0.561,2,,,,George Mason,A-10,16,17,0.485,,,,2015-16,47,52,0.475,,,,,181,146,0.554,2,,,,N,
