,Coach,School_x,Conference_x,W_2013,L_2013,W-L%_2013,AP_Pre_2013,AP_Post_2013,NCAA_Tournament_2013,Since_2013,W_Career_2013,L_Career_2013,W-L%_Career_2013,NCAA_Career_2013,S16_Career_2013,FF_Career_2013,Chmp_Career_2013,W_Overall_2013,L_Overall_2013,W-L%_Overall_2013,NCAA_Overall_2013,S16_Overall_2013,FF_Overall_2013,Chmp_Overall_2013,School_y,Conference_y,W_2014,L_2014,W-L%_2014,AP_Pre_2014,AP_Post_2014,NCAA_Tournament_2014,Since_2014,W_Career_2014,L_Career_2014,W-L%_Career_2014,NCAA_Career_2014,S16_Career_2014,FF_Career_2014,Chmp_Career_2014,W_Overall_2014,L_Overall_2014,W-L%_Overall_2014,NCAA_Overall_2014,S16_Overall_2014,FF_Overall_2014,Chmp_Overall_2014,School_x,Conference_x,W_2015,L_2015,W-L%_2015,AP_Pre_2015,AP_Post_2015,NCAA_Tournament_2015,Since_2015,W_Career_2015,L_Career_2015,W-L%_Career_2015,NCAA_Career_2015,S16_Career_2015,FF_Career_2015,Chmp_Career_2015,W_Overall_2015,L_Overall_2015,W-L%_Overall_2015,NCAA_Overall_2015,S16_Overall_2015,FF_Overall_2015,Chmp_Overall_2015,School_y,Conference_y,W_2016,L_2016,W-L%_2016,AP_Pre_2016,AP_Post_2016,NCAA_Tournament_2016,Since_2016,W_Career_2016,L_Career_2016,W-L%_Career_2016,NCAA_Career_2016,S16_Career_2016,FF_Career_2016,Chmp_Career_2016,W_Overall_2016,L_Overall_2016,W-L%_Overall_2016,NCAA_Overall_2016,S16_Overall_2016,FF_Overall_2016,Chmp_Overall_2016,School,Conference,W_2017,L_2017,W-L%_2017,AP_Pre_2017,AP_Post_2017,NCAA_Tournament_2017,Since_2017,W_Career_2017,L_Career_2017,W-L%_Career_2017,NCAA_Career_2017,S16_Career_2017,FF_Career_2017,Chmp_Career_2017,W_Overall_2017,L_Overall_2017,W-L%_Overall_2017,NCAA_Overall_2017,S16_Overall_2017,FF_Overall_2017,Chmp_Overall_2017,FIRED?,WHEN
86,Rob Murphy,Eastern Michigan,MAC,22,15,0.595,,,,2011-12,52,51,0.505,,,,,52,51,0.505,,,,,Eastern Michigan,MAC,21,14,0.6,,,,2011-12,73,65,0.529,,,,,73,65,0.529,,,,,Eastern Michigan,MAC,18,15,0.545,,,,2011-12,91,80,0.532,,,,,91,80,0.532,,,,,Eastern Michigan,MAC,16,17,0.485,,,,2011-12,107,97,0.525,,,,,107,97,0.525,,,,,Eastern Michigan,MAC,22,13,0.629,,,,2011-12,129,110,0.54,,,,,129,110,0.54,,,,,N,
87,Jim Hayford,Eastern Washington,Big Sky,15,16,0.484,,,,2011-12,40,54,0.426,,,,,40,54,0.426,,,,,Eastern Washington,Big Sky,26,9,0.743,,,Lost Second Round,2011-12,66,63,0.512,1,,,,66,63,0.512,1,,,,Eastern Washington,Big Sky,18,16,0.529,,,,2011-12,84,79,0.515,1,,,,84,79,0.515,1,,,,Eastern Washington,Big Sky,22,12,0.647,,,,2011-12,106,91,0.538,1,,,,106,91,0.538,1,,,,Seattle,WAC,20,14,0.588,,,,2017-18,20,14,0.588,,,,,126,105,0.545,1,,,,N,
88,Matt Matheny,Elon,Southern,18,14,0.562,,,,2009-10,77,82,0.484,,,,,77,82,0.484,,,,,Elon,CAA,15,18,0.455,,,,2009-10,92,100,0.479,,,,,92,100,0.479,,,,,Elon,CAA,16,16,0.5,,,,2009-10,108,116,0.482,,,,,108,116,0.482,,,,,Elon,CAA,18,14,0.562,,,,2009-10,126,130,0.492,,,,,126,130,0.492,,,,,Elon,CAA,14,18,0.438,,,,2009-10,140,148,0.486,,,,,140,148,0.486,,,,,N,
89,Marty Simmons,Evansville,MVC,14,19,0.424,,,,2007-08,102,122,0.455,,,,,102,122,0.455,,,,,Evansville,MVC,24,12,0.667,,,,2007-08,126,134,0.485,,,,,126,134,0.485,,,,,Evansville,MVC,25,9,0.735,,,,2007-08,151,143,0.514,,,,,151,143,0.514,,,,,Evansville,MVC,16,17,0.485,,,,2007-08,167,160,0.511,,,,,167,160,0.511,,,,,Evansville,MVC,17,15,0.531,,,,2007-08,184,175,0.513,,,,,184,175,0.513,,,,,N,
90,Sydney Johnson,Fairfield,MAAC,7,25,0.219,,,,2011-12,48,56,0.462,,,,,114,109,0.511,1,,,,Fairfield,MAAC,7,24,0.226,,,,2011-12,55,80,0.407,,,,,121,133,0.476,1,,,,Fairfield,MAAC,19,14,0.576,,,,2011-12,74,94,0.44,,,,,140,147,0.488,1,,,,Fairfield,MAAC,16,15,0.516,,,,2011-12,90,109,0.452,,,,,156,162,0.491,1,,,,Fairfield,MAAC,17,16,0.515,,,,2011-12,107,125,0.461,,,,,173,178,0.493,1,,,,N,
91,Greg Herenda,Fairleigh Dickinson,NEC,10,21,0.323,,,,2013-14,10,21,0.323,,,,,10,21,0.323,,,,,Fairleigh Dickinson,NEC,8,21,0.276,,,,2013-14,18,42,0.3,,,,,18,42,0.3,,,,,Fairleigh Dickinson,NEC,18,15,0.545,,,,2013-14,36,57,0.387,1,,,,36,57,0.387,1,,,,Fairleigh Dickinson,NEC,11,19,0.367,,,,2013-14,47,76,0.382,1,,,,47,76,0.382,1,,,,Fairleigh Dickinson,NEC,13,18,0.419,,,,2013-14,60,94,0.39,1,,,,60,94,0.39,1,,,,N,
92,Billy Donovan,Florida,SEC,36,3,0.923,10,1,Lost National Semifinal,1996-97,451,169,0.727,14,8,4,2,486,189,0.72,14,8,4,2,Florida,SEC,16,17,0.485,7,,,1996-97,467,186,0.715,14,8,4,2,502,206,0.709,14,8,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
93,Clemon Johnson,Florida A&M,MEAC,14,18,0.438,,,,2011-12,32,64,0.333,,,,,32,64,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2014
94,Mike Jarvis,Florida Atlantic,CUSA,10,22,0.312,,,,2008-09,76,112,0.404,,,,,439,314,0.583,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
95,Joe Dooley,Florida Gulf Coast,A-Sun,22,13,0.629,,,,2013-14,22,13,0.629,,,,,79,65,0.549,,,,,Florida Gulf Coast,A-Sun,22,11,0.667,,,,2013-14,44,24,0.647,,,,,101,76,0.571,,,,,Florida Gulf Coast,A-Sun,21,14,0.6,,,Lost First Round,2013-14,65,38,0.631,1,,,,122,90,0.575,1,,,,Florida Gulf Coast,A-Sun,26,8,0.765,,,Lost First Round,2013-14,91,46,0.664,2,,,,148,98,0.602,2,,,,Florida Gulf Coast,A-Sun,23,12,0.657,,,,2013-14,114,58,0.663,2,,,,171,110,0.609,2,,,,N,
96,Anthony Evans,Florida International,CUSA,15,16,0.484,,,,2013-14,15,16,0.484,,,,,114,110,0.509,1,,,,Florida International,CUSA,16,17,0.485,,,,2013-14,31,33,0.484,,,,,130,127,0.506,1,,,,Florida International,CUSA,13,19,0.406,,,,2013-14,44,52,0.458,,,,,143,146,0.495,1,,,,Florida International,CUSA,7,24,0.226,,,,2013-14,51,76,0.402,,,,,150,170,0.469,1,,,,Florida International,CUSA,14,18,0.438,,,,2013-14,65,94,0.409,,,,,164,188,0.466,1,,,,N,
97,Leonard Hamilton*,Florida State,ACC,22,14,0.611,,,,2002-03,241,157,0.606,4,1,,,441,367,0.546,7,2,,,Florida State,ACC,17,16,0.515,,,,2002-03,258,173,0.599,4,1,,,458,383,0.545,7,2,,,Florida State,ACC,20,14,0.588,,,,2002-03,278,187,0.598,4,1,,,478,397,0.546,7,2,,,Florida State,ACC,26,9,0.743,,16,Lost Second Round,2002-03,304,196,0.608,5,1,,,504,406,0.554,8,2,,,Florida State,ACC,23,12,0.657,,,Lost Regional Final,2002-03,327,208,0.611,6,2,,,527,418,0.558,9,3,,,N,
98,Tom Pecora,Fordham,A-10,10,21,0.323,,,,2010-11,34,85,0.286,,,,,189,211,0.472,,,,,Fordham,A-10,10,21,0.323,,,,2010-11,44,106,0.293,,,,,199,232,0.462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2015
99,Rodney Terry,Fresno State,MWC,21,18,0.538,,,,2011-12,45,57,0.441,,,,,45,57,0.441,,,,,Fresno State,MWC,15,17,0.469,,,,2011-12,60,74,0.448,,,,,60,74,0.448,,,,,Fresno State,MWC,25,10,0.714,,,Lost First Round,2011-12,85,84,0.503,1,,,,85,84,0.503,1,,,,Fresno State,MWC,20,13,0.606,,,,2011-12,105,97,0.52,1,,,,105,97,0.52,1,,,,Fresno State,MWC,21,11,0.656,,,,2011-12,126,108,0.538,1,,,,126,108,0.538,1,,,,N,
100,Niko Medved,Furman,Southern,9,21,0.3,,,,2013-14,9,21,0.3,,,,,9,21,0.3,,,,,Furman,Southern,11,22,0.333,,,,2013-14,20,43,0.317,,,,,20,43,0.317,,,,,Furman,Southern,19,16,0.543,,,,2013-14,39,59,0.398,,,,,39,59,0.398,,,,,Furman,Southern,23,12,0.657,,,,2013-14,62,71,0.466,,,,,62,71,0.466,,,,,Drake,MVC,17,17,0.5,,,,2017-18,17,17,0.5,,,,,79,88,0.473,,,,,N,
101,Tim Craft,Gardner-Webb,Big South,18,15,0.545,,,,2013-14,18,15,0.545,,,,,18,15,0.545,,,,,Gardner-Webb,Big South,20,15,0.571,,,,2013-14,38,30,0.559,,,,,38,30,0.559,,,,,Gardner-Webb,Big South,17,16,0.515,,,,2013-14,55,46,0.545,,,,,55,46,0.545,,,,,Gardner-Webb,Big South,19,14,0.576,,,,2013-14,74,60,0.552,,,,,74,60,0.552,,,,,Gardner-Webb,Big South,14,18,0.438,,,,2013-14,88,78,0.53,,,,,88,78,0.53,,,,,N,
102,Paul Hewitt,George Mason,A-10,11,20,0.355,,,,2011-12,57,45,0.559,,,,,313,234,0.572,6,1,1,,George Mason,A-10,9,22,0.29,,,,2011-12,66,67,0.496,,,,,322,256,0.557,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2015
103,Mike Lonergan,George Washington,A-10,24,9,0.727,,,Lost Second Round,2011-12,47,47,0.5,1,,,,173,115,0.601,2,,,,George Washington,A-10,22,13,0.629,,,,2011-12,69,60,0.535,1,,,,195,128,0.604,2,,,,George Washington,A-10,28,10,0.737,,,,2011-12,97,70,0.581,1,,,,223,138,0.618,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2017
104,John Thompson,Georgetown,Big East,18,15,0.545,,,,2004-05,227,104,0.686,7,2,1,,295,146,0.669,9,2,1,,Georgetown,Big East,22,11,0.667,,22,Lost Third Round,2004-05,249,115,0.684,8,2,1,,317,157,0.669,10,2,1,,Georgetown,Big East,15,18,0.455,,,,2004-05,264,133,0.665,8,2,1,,332,175,0.655,10,2,1,,Georgetown,Big East,14,18,0.438,,,,2004-05,278,151,0.648,8,2,1,,346,193,0.642,10,2,1,,,,,,,,,,,,,,,,,,,,,,,,,Y,2017
105,Mark Fox,Georgia,SEC,20,14,0.588,,,,2009-10,85,77,0.525,1,,,,208,120,0.634,4,,,,Georgia,SEC,21,12,0.636,,,Lost Second Round,2009-10,106,89,0.544,2,,,,229,132,0.634,5,,,,Georgia,SEC,20,14,0.588,,,,2009-10,126,103,0.55,2,,,,249,146,0.63,5,,,,Georgia,SEC,19,15,0.559,,,,2009-10,145,118,0.551,2,,,,268,161,0.625,5,,,,Georgia,SEC,18,15,0.545,,,,2009-10,163,133,0.551,2,,,,286,176,0.619,5,,,,N,
106,Mark Byington,Georgia Southern,Southern,15,19,0.441,,,,2013-14,15,19,0.441,,,,,15,19,0.441,,,,,Georgia Southern,Sun Belt,22,9,0.71,,,,2013-14,37,28,0.569,,,,,37,28,0.569,,,,,Georgia Southern,Sun Belt,14,17,0.452,,,,2013-14,51,45,0.531,,,,,51,45,0.531,,,,,Georgia Southern,Sun Belt,18,15,0.545,,,,2013-14,69,60,0.535,,,,,69,60,0.535,,,,,Georgia Southern,Sun Belt,21,12,0.636,,,,2013-14,90,72,0.556,,,,,90,72,0.556,,,,,N,
107,Ron Hunter,Georgia State,Sun Belt,25,9,0.735,,,,2011-12,62,37,0.626,,,,,283,216,0.567,1,,,,Georgia State,Sun Belt,25,10,0.714,,,Lost Third Round,2011-12,87,47,0.649,1,,,,308,226,0.577,2,,,,Georgia State,Sun Belt,16,14,0.533,,,,2011-12,103,61,0.628,1,,,,324,240,0.574,2,,,,Georgia State,Sun Belt,20,13,0.606,,,,2011-12,123,74,0.624,1,,,,344,253,0.576,2,,,,Georgia State,Sun Belt,24,11,0.686,,,Lost First Round,2011-12,147,85,0.634,2,,,,368,264,0.582,3,,,,N,
108,Brian Gregory,Georgia Tech,ACC,16,17,0.485,,,,2011-12,43,52,0.453,,,,,215,146,0.596,2,,,,Georgia Tech,ACC,12,19,0.387,,,,2011-12,55,71,0.437,,,,,227,165,0.579,2,,,,Georgia Tech,ACC,21,15,0.583,,,,2011-12,76,86,0.469,,,,,248,180,0.579,2,,,,,,,,,,,,,,,,,,,,,,,,,,,South Florida,AAC,10,22,0.312,,,,2017-18,10,22,0.312,,,,,258,202,0.561,2,,,,Y,2016
109,Mark Few,Gonzaga,WCC,29,7,0.806,15,,Lost Third Round,1999-00,403,100,0.801,15,4,,,403,100,0.801,15,4,,,Gonzaga,WCC,35,3,0.921,13,7,Lost Regional Final,1999-00,438,103,0.81,16,5,,,438,103,0.81,16,5,,,Gonzaga,WCC,28,8,0.778,9,,Lost Regional Semifinal,1999-00,466,111,0.808,17,6,,,466,111,0.808,17,6,,,Gonzaga,WCC,37,2,0.949,14,2,Lost National Final,1999-00,503,113,0.817,18,7,1,,503,113,0.817,18,7,1,,Gonzaga,WCC,32,5,0.865,18,8,Lost Regional Semifinal,1999-00,535,118,0.819,19,8,1,,535,118,0.819,19,8,1,,N,
110,Joseph Price,Grambling,SWAC,5,24,0.172,,,,2012-13,5,52,0.088,,,,,5,52,0.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2014
111,Dan Majerle,Grand Canyon,WAC,15,15,0.5,,,,2013-14,15,15,0.5,,,,,15,15,0.5,,,,,Grand Canyon,WAC,17,15,0.531,,,,2013-14,32,30,0.516,,,,,32,30,0.516,,,,,Grand Canyon,WAC,27,7,0.794,,,,2013-14,59,37,0.615,,,,,59,37,0.615,,,,,Grand Canyon,WAC,22,9,0.71,,,,2013-14,81,46,0.638,,,,,81,46,0.638,,,,,Grand Canyon,WAC,22,12,0.647,,,,2013-14,103,58,0.64,,,,,103,58,0.64,,,,,N,
112,Brian Wardle,Green Bay,Horizon,24,7,0.774,,,,2010-11,71,56,0.559,,,,,71,56,0.559,,,,,Green Bay,Horizon,24,9,0.727,,,,2010-11,95,65,0.594,,,,,95,65,0.594,,,,,Bradley,MVC,5,27,0.156,,,,2015-16,5,27,0.156,,,,,100,92,0.521,,,,,Bradley,MVC,13,20,0.394,,,,2015-16,18,47,0.277,,,,,113,112,0.502,,,,,Bradley,MVC,20,13,0.606,,,,2015-16,38,60,0.388,,,,,133,125,0.516,,,,,N,
113,Edward Joyner,Hampton,MEAC,18,13,0.581,,,,2009-10,82,78,0.512,1,,,,82,78,0.512,1,,,,Hampton,MEAC,17,18,0.486,,,Lost Second Round,2009-10,99,96,0.508,2,,,,99,96,0.508,2,,,,Hampton,MEAC,21,11,0.656,,,Lost First Round,2009-10,120,107,0.529,3,,,,120,107,0.529,3,,,,Hampton,MEAC,14,17,0.452,,,,2009-10,134,124,0.519,3,,,,134,124,0.519,3,,,,Hampton,MEAC,18,16,0.529,,,,2009-10,152,140,0.521,3,,,,152,140,0.521,3,,,,N,
114,John Gallagher,Hartford,AEC,17,16,0.515,,,,2010-11,54,72,0.429,,,,,54,72,0.429,,,,,Hartford,AEC,14,16,0.467,,,,2010-11,68,88,0.436,,,,,68,88,0.436,,,,,Hartford,AEC,10,23,0.303,,,,2010-11,78,111,0.413,,,,,78,111,0.413,,,,,Hartford,AEC,9,23,0.281,,,,2010-11,87,134,0.394,,,,,87,134,0.394,,,,,Hartford,AEC,19,14,0.576,,,,2010-11,106,148,0.417,,,,,106,148,0.417,,,,,N,
115,Tommy Amaker,Harvard,Ivy,27,5,0.844,,,Lost Third Round,2007-08,139,71,0.662,3,,,,315,210,0.6,4,1,,,Harvard,Ivy,22,8,0.733,25,,Lost Second Round,2007-08,161,79,0.671,4,,,,337,218,0.607,5,1,,,Harvard,Ivy,14,16,0.467,,,,2007-08,175,95,0.648,4,,,,351,234,0.6,5,1,,,Harvard,Ivy,18,10,0.643,,,,2007-08,193,105,0.648,4,,,,369,244,0.602,5,1,,,Harvard,Ivy,18,14,0.562,,,,2007-08,211,119,0.639,4,,,,387,258,0.6,5,1,,,N,
116,Gib Arnold*,Hawaii,Big West,20,11,0.645,,,,2010-11,72,55,0.567,,,,,72,55,0.567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2015
117,Scott Cherry,High Point,Big South,16,15,0.516,,,,2009-10,73,81,0.474,,,,,73,81,0.474,,,,,High Point,Big South,23,10,0.697,,,,2009-10,96,91,0.513,,,,,96,91,0.513,,,,,High Point,Big South,21,11,0.656,,,,2009-10,117,102,0.534,,,,,117,102,0.534,,,,,High Point,Big South,15,16,0.484,,,,2009-10,132,118,0.528,,,,,132,118,0.528,,,,,High Point,Big South,14,16,0.467,,,,2009-10,146,134,0.521,,,,,146,134,0.521,,,,,N,
118,Joe Mihalich,Hofstra,CAA,10,23,0.303,,,,2013-14,10,23,0.303,,,,,275,226,0.549,2,,,,Hofstra,CAA,20,14,0.588,,,,2013-14,30,37,0.448,,,,,295,240,0.551,2,,,,Hofstra,CAA,24,10,0.706,,,,2013-14,54,47,0.535,,,,,319,250,0.561,2,,,,Hofstra,CAA,15,17,0.469,,,,2013-14,69,64,0.519,,,,,334,267,0.556,2,,,,Hofstra,CAA,19,12,0.613,,,,2013-14,88,76,0.537,,,,,353,279,0.559,2,,,,N,
119,Milan Brown,Holy Cross,Patriot,20,14,0.588,,,,2010-11,55,67,0.451,,,,,150,187,0.445,1,,,,Holy Cross,Patriot,14,16,0.467,,,,2010-11,69,83,0.454,,,,,164,203,0.447,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2015
120,James Dickey,Houston,AAC,17,16,0.515,,,,2010-11,64,62,0.508,,,,,230,186,0.553,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
121,Ron Cottrell,Houston Baptist,Southland,6,25,0.194,,,,2008-09,52,134,0.28,,,,,52,134,0.28,,,,,Houston Baptist,Southland,12,16,0.429,,,,2008-09,64,150,0.299,,,,,64,150,0.299,,,,,Houston Baptist,Southland,17,17,0.5,,,,2008-09,81,167,0.327,,,,,81,167,0.327,,,,,Houston Baptist,Southland,17,14,0.548,,,,2008-09,98,181,0.351,,,,,98,181,0.351,,,,,Houston Baptist,Southland,6,25,0.194,,,,2008-09,104,206,0.335,,,,,104,206,0.335,,,,,N,
122,Kevin Nickelberry,Howard,MEAC,8,25,0.242,,,,2010-11,31,94,0.248,,,,,80,138,0.367,,,,,Howard,MEAC,16,16,0.5,,,,2010-11,47,110,0.299,,,,,96,154,0.384,,,,,Howard,MEAC,12,20,0.375,,,,2010-11,59,130,0.312,,,,,108,174,0.383,,,,,Howard,MEAC,10,24,0.294,,,,2010-11,69,154,0.309,,,,,118,198,0.373,,,,,Howard,MEAC,10,23,0.303,,,,2010-11,79,177,0.309,,,,,128,221,0.367,,,,,N,
123,Don Verlin,Idaho,WAC,16,18,0.471,,,,2008-09,97,96,0.503,,,,,97,96,0.503,,,,,Idaho,Big Sky,13,17,0.433,,,,2008-09,110,113,0.493,,,,,110,113,0.493,,,,,Idaho,Big Sky,21,13,0.618,,,,2008-09,131,126,0.51,,,,,131,126,0.51,,,,,Idaho,Big Sky,19,14,0.576,,,,2008-09,150,140,0.517,,,,,150,140,0.517,,,,,Idaho,Big Sky,22,9,0.71,,,,2008-09,172,149,0.536,,,,,172,149,0.536,,,,,N,
124,Bill Evans,Idaho State,Big Sky,11,18,0.379,,,,2012-13,17,42,0.288,,,,,225,265,0.459,1,,,,Idaho State,Big Sky,7,23,0.233,,,,2012-13,24,65,0.27,,,,,232,288,0.446,1,,,,Idaho State,Big Sky,16,15,0.516,,,,2012-13,40,80,0.333,,,,,248,303,0.45,1,,,,Idaho State,Big Sky,5,26,0.161,,,,2012-13,45,106,0.298,,,,,253,329,0.435,1,,,,Idaho State,Big Sky,14,16,0.467,,,,2012-13,59,122,0.326,,,,,267,345,0.436,1,,,,N,
125,John Groce,Illinois,Big Ten,20,15,0.571,,,,2012-13,43,28,0.606,1,,,,128,84,0.604,3,1,,,Illinois,Big Ten,19,14,0.576,,,,2012-13,62,42,0.596,1,,,,147,98,0.6,3,1,,,Illinois,Big Ten,15,19,0.441,,,,2012-13,77,61,0.558,1,,,,162,117,0.581,3,1,,,Illinois,Big Ten,18,14,0.562,,,,2012-13,95,75,0.559,1,,,,180,131,0.579,3,1,,,Akron,MAC,14,18,0.438,,,,2017-18,14,18,0.438,,,,,194,149,0.566,3,1,,,Y,2017
126,Howard Moore,UIC,Horizon,6,25,0.194,,,,2010-11,39,87,0.31,,,,,39,87,0.31,,,,,UIC,Horizon,10,24,0.294,,,,2010-11,49,111,0.306,,,,,49,111,0.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2015
127,Dan Muller,Illinois State,MVC,18,16,0.529,,,,2012-13,36,31,0.537,,,,,36,31,0.537,,,,,Illinois State,MVC,22,13,0.629,,,,2012-13,58,44,0.569,,,,,58,44,0.569,,,,,Illinois State,MVC,18,14,0.562,,,,2012-13,76,58,0.567,,,,,76,58,0.567,,,,,Illinois State,MVC,28,7,0.8,,,,2012-13,104,65,0.615,,,,,104,65,0.615,,,,,Illinois State,MVC,18,15,0.545,,,,2012-13,122,80,0.604,,,,,122,80,0.604,,,,,N,
128,Ken Burmeister,Incarnate Word,Southland,21,6,0.778,,,,2013-14,21,6,0.778,,,,,133,121,0.524,1,,,,Incarnate Word,Southland,18,11,0.621,,,,2013-14,39,17,0.696,,,,,151,132,0.534,1,,,,Incarnate Word,Southland,17,12,0.586,,,,2013-14,56,29,0.659,,,,,168,144,0.538,1,,,,Incarnate Word,Southland,12,17,0.414,,,,2013-14,68,46,0.596,,,,,180,161,0.528,1,,,,Incarnate Word,Southland,7,21,0.25,,,,2013-14,75,67,0.528,,,,,187,182,0.507,1,,,,N,
129,Tom Crean,Indiana,Big Ten,17,15,0.531,,,,2008-09,101,97,0.51,2,2,,,291,193,0.601,7,3,1,,Indiana,Big Ten,20,14,0.588,,,Lost Second Round,2008-09,121,111,0.522,3,2,,,311,207,0.6,8,3,1,,Indiana,Big Ten,27,8,0.771,15,14,Lost Regional Semifinal,2008-09,148,119,0.554,4,3,,,338,215,0.611,9,4,1,,Indiana,Big Ten,18,16,0.529,11,,,2008-09,166,135,0.551,4,3,,,356,231,0.606,9,4,1,,,,,,,,,,,,,,,,,,,,,,,,,Y,2017
130,Greg Lansing,Indiana State,MVC,23,11,0.676,,,,2010-11,79,55,0.59,1,,,,79,55,0.59,1,,,,Indiana State,MVC,15,16,0.484,,,,2010-11,94,71,0.57,1,,,,94,71,0.57,1,,,,Indiana State,MVC,15,17,0.469,,,,2010-11,109,88,0.553,1,,,,109,88,0.553,1,,,,Indiana State,MVC,11,20,0.355,,,,2010-11,120,108,0.526,1,,,,120,108,0.526,1,,,,Indiana State,MVC,13,18,0.419,,,,2010-11,133,126,0.514,1,,,,133,126,0.514,1,,,,N,
131,Tim Cluess,Iona,MAAC,22,11,0.667,,,,2010-11,92,45,0.672,2,,,,92,45,0.672,2,,,,Iona,MAAC,26,9,0.743,,,,2010-11,118,54,0.686,2,,,,118,54,0.686,2,,,,Iona,MAAC,22,11,0.667,,,Lost First Round,2010-11,140,65,0.683,3,,,,140,65,0.683,3,,,,Iona,MAAC,22,13,0.629,,,Lost First Round,2010-11,162,78,0.675,4,,,,162,78,0.675,4,,,,Iona,MAAC,20,14,0.588,,,Lost First Round,2010-11,182,92,0.664,5,,,,182,92,0.664,5,,,,N,
132,Fran McCaffery,Iowa,Big Ten,20,13,0.606,,,,2010-11,74,63,0.54,1,,,,325,240,0.575,6,,,,Iowa,Big Ten,22,12,0.647,,,Lost Third Round,2010-11,96,75,0.561,2,,,,347,252,0.579,7,,,,Iowa,Big Ten,22,11,0.667,,25,Lost Second Round,2010-11,118,86,0.578,3,,,,369,263,0.584,8,,,,Iowa,Big Ten,19,15,0.559,,,,2010-11,137,101,0.576,3,,,,388,278,0.583,8,,,,Iowa,Big Ten,14,19,0.424,,,,2010-11,151,120,0.557,3,,,,402,297,0.575,8,,,,N,
133,Fred Hoiberg,Iowa State,Big 12,28,8,0.778,,9,Lost Regional Semifinal,2010-11,90,47,0.657,3,1,,,90,47,0.657,3,1,,,Iowa State,Big 12,25,9,0.735,14,9,Lost Second Round,2010-11,115,56,0.673,4,1,,,115,56,0.673,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
134,Tony Jasick,Fort Wayne,Summit,25,11,0.694,,,,2011-12,52,47,0.525,,,,,52,47,0.525,,,,,Jacksonville,A-Sun,10,22,0.312,,,,2014-15,10,22,0.312,,,,,62,69,0.473,,,,,Jacksonville,A-Sun,16,16,0.5,,,,2014-15,26,38,0.406,,,,,78,85,0.479,,,,,Jacksonville,A-Sun,17,16,0.515,,,,2014-15,43,54,0.443,,,,,95,101,0.485,,,,,Jacksonville,A-Sun,15,18,0.455,,,,2014-15,58,72,0.446,,,,,110,119,0.48,,,,,N,
135,Todd Howard,IUPUI,Summit,6,26,0.188,,,,2011-12,26,70,0.271,,,,,26,70,0.271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2014
136,Wayne Brent,Jackson State,SWAC,11,20,0.355,,,,2013-14,11,20,0.355,,,,,11,20,0.355,,,,,Jackson State,SWAC,11,21,0.344,,,,2013-14,22,41,0.349,,,,,22,41,0.349,,,,,Jackson State,SWAC,20,16,0.556,,,,2013-14,42,57,0.424,,,,,42,57,0.424,,,,,Jackson State,SWAC,14,18,0.438,,,,2013-14,56,75,0.427,,,,,56,75,0.427,,,,,Jackson State,SWAC,12,20,0.375,,,,2013-14,68,95,0.417,,,,,68,95,0.417,,,,,N,
