Coach,School,Conference,W_2015,L_2015,W-L%_2015,AP_Pre_2015,AP_Post_2015,NCAA_Tournament_2015,Since_2015,W_Career_2015,L_Career_2015,W-L%_Career_2015,NCAA_Career_2015,S16_Career_2015,FF_Career_2015,Chmp_Career_2015,W_Overall_2015,L_Overall_2015,W-L%_Overall_2015,NCAA_Overall_2015,S16_Overall_2015,FF_Overall_2015,Chmp_Overall_2015
Jim Hayford,Eastern Washington,Big Sky,18,16,0.529,,,,2011-12,84,79,0.515,1,,,,84,79,0.515,1,,,
Matt Matheny,Elon,CAA,16,16,0.5,,,,2009-10,108,116,0.482,,,,,108,116,0.482,,,,
Marty Simmons,Evansville,MVC,25,9,0.735,,,,2007-08,151,143,0.514,,,,,151,143,0.514,,,,
Sydney Johnson,Fairfield,MAAC,19,14,0.576,,,,2011-12,74,94,0.44,,,,,140,147,0.488,1,,,
Greg Herenda,Fairleigh Dickinson,NEC,18,15,0.545,,,,2013-14,36,57,0.387,1,,,,36,57,0.387,1,,,
Michael White,Florida,SEC,21,15,0.583,,,,2015-16,21,15,0.583,,,,,122,55,0.689,,,,
Byron Samuels,Florida A&M,MEAC,8,21,0.276,,,,2014-15,10,48,0.172,,,,,85,171,0.332,,,,
Michael Curry,Florida Atlantic,CUSA,8,25,0.242,,,,2014-15,17,45,0.274,,,,,17,45,0.274,,,,
Joe Dooley,Florida Gulf Coast,A-Sun,21,14,0.6,,,Lost First Round,2013-14,65,38,0.631,1,,,,122,90,0.575,1,,,
Anthony Evans,Florida International,CUSA,13,19,0.406,,,,2013-14,44,52,0.458,,,,,143,146,0.495,1,,,
Leonard Hamilton*,Florida State,ACC,20,14,0.588,,,,2002-03,278,187,0.598,4,1,,,478,397,0.546,7,2,,
Jeff Neubauer,Fordham,A-10,17,14,0.548,,,,2015-16,17,14,0.548,,,,,205,148,0.581,2,,,
Rodney Terry,Fresno State,MWC,25,10,0.714,,,Lost First Round,2011-12,85,84,0.503,1,,,,85,84,0.503,1,,,
Niko Medved,Furman,Southern,19,16,0.543,,,,2013-14,39,59,0.398,,,,,39,59,0.398,,,,
Tim Craft,Gardner-Webb,Big South,17,16,0.515,,,,2013-14,55,46,0.545,,,,,55,46,0.545,,,,
Dave Paulsen,George Mason,A-10,11,21,0.344,,,,2015-16,11,21,0.344,,,,,145,115,0.558,2,,,
Mike Lonergan,George Washington,A-10,28,10,0.737,,,,2011-12,97,70,0.581,1,,,,223,138,0.618,2,,,
John Thompson,Georgetown,Big East,15,18,0.455,,,,2004-05,264,133,0.665,8,2,1,,332,175,0.655,10,2,1,
Mark Fox,Georgia,SEC,20,14,0.588,,,,2009-10,126,103,0.55,2,,,,249,146,0.63,5,,,
Mark Byington,Georgia Southern,Sun Belt,14,17,0.452,,,,2013-14,51,45,0.531,,,,,51,45,0.531,,,,
Ron Hunter,Georgia State,Sun Belt,16,14,0.533,,,,2011-12,103,61,0.628,1,,,,324,240,0.574,2,,,
Brian Gregory,Georgia Tech,ACC,21,15,0.583,,,,2011-12,76,86,0.469,,,,,248,180,0.579,2,,,
Mark Few,Gonzaga,WCC,28,8,0.778,9,,Lost Regional Semifinal,1999-00,466,111,0.808,17,6,,,466,111,0.808,17,6,,
Shawn Walker,Grambling,SWAC,7,24,0.226,,,,2014-15,9,51,0.15,,,,,9,51,0.15,,,,
Dan Majerle,Grand Canyon,WAC,27,7,0.794,,,,2013-14,59,37,0.615,,,,,59,37,0.615,,,,
Linc Darner,Green Bay,Horizon,23,13,0.639,,,Lost First Round,2015-16,23,13,0.639,1,,,,23,13,0.639,1,,,
Edward Joyner,Hampton,MEAC,21,11,0.656,,,Lost First Round,2009-10,120,107,0.529,3,,,,120,107,0.529,3,,,
John Gallagher,Hartford,AEC,10,23,0.303,,,,2010-11,78,111,0.413,,,,,78,111,0.413,,,,
Tommy Amaker,Harvard,Ivy,14,16,0.467,,,,2007-08,175,95,0.648,4,,,,351,234,0.6,5,1,,
Eran Ganot,Hawaii,Big West,28,6,0.824,,,Lost Second Round,2015-16,28,6,0.824,1,,,,31,8,0.795,1,,,
Scott Cherry,High Point,Big South,21,11,0.656,,,,2009-10,117,102,0.534,,,,,117,102,0.534,,,,
Joe Mihalich,Hofstra,CAA,24,10,0.706,,,,2013-14,54,47,0.535,,,,,319,250,0.561,2,,,
Bill Carmody,Holy Cross,Patriot,15,20,0.429,,,Lost First Round,2015-16,15,20,0.429,1,,,,299,255,0.54,3,,,
Kelvin Sampson,Houston,AAC,22,10,0.688,,,,2014-15,35,29,0.547,,,,,460,256,0.642,14,3,1,
Ron Cottrell,Houston Baptist,Southland,17,17,0.5,,,,2008-09,81,167,0.327,,,,,81,167,0.327,,,,
Kevin Nickelberry,Howard,MEAC,12,20,0.375,,,,2010-11,59,130,0.312,,,,,108,174,0.383,,,,
Don Verlin,Idaho,Big Sky,21,13,0.618,,,,2008-09,131,126,0.51,,,,,131,126,0.51,,,,
Bill Evans,Idaho State,Big Sky,16,15,0.516,,,,2012-13,40,80,0.333,,,,,248,303,0.45,1,,,
John Groce,Illinois,Big Ten,15,19,0.441,,,,2012-13,77,61,0.558,1,,,,162,117,0.581,3,1,,
Steve McClain,UIC,Horizon,5,25,0.167,,,,2015-16,5,25,0.167,,,,,162,140,0.536,1,,,
Dan Muller,Illinois State,MVC,18,14,0.562,,,,2012-13,76,58,0.567,,,,,76,58,0.567,,,,
Ken Burmeister,Incarnate Word,Southland,17,12,0.586,,,,2013-14,56,29,0.659,,,,,168,144,0.538,1,,,
Tom Crean,Indiana,Big Ten,27,8,0.771,15,14,Lost Regional Semifinal,2008-09,148,119,0.554,4,3,,,338,215,0.611,9,4,1,
Greg Lansing,Indiana State,MVC,15,17,0.469,,,,2010-11,109,88,0.553,1,,,,109,88,0.553,1,,,
Tim Cluess,Iona,MAAC,22,11,0.667,,,Lost First Round,2010-11,140,65,0.683,3,,,,140,65,0.683,3,,,
Fran McCaffery,Iowa,Big Ten,22,11,0.667,,25,Lost Second Round,2010-11,118,86,0.578,3,,,,369,263,0.584,8,,,
Steve Prohm,Iowa State,Big 12,23,12,0.657,7,22,Lost Regional Semifinal,2015-16,23,12,0.657,1,1,,,127,41,0.756,2,1,,
Jon Coffman,Fort Wayne,Summit,24,10,0.706,,,,2014-15,40,25,0.615,,,,,40,25,0.615,,,,
Jason Gardner,IUPUI,Summit,13,19,0.406,,,,2014-15,23,40,0.365,,,,,23,40,0.365,,,,
Wayne Brent,Jackson State,SWAC,20,16,0.556,,,,2013-14,42,57,0.424,,,,,42,57,0.424,,,,
Tony Jasick,Jacksonville,A-Sun,16,16,0.5,,,,2014-15,26,38,0.406,,,,,78,85,0.479,,,,
James Green,Jacksonville State,OVC,8,23,0.258,,,,2008-09,89,153,0.368,,,,,256,315,0.448,1,,,
Matt Brady,James Madison,CAA,21,11,0.656,,,,2008-09,139,127,0.523,1,,,,212,177,0.545,1,,,
Bill Self,Kansas,Big 12,33,5,0.868,4,1,Lost Regional Final,2003-04,385,83,0.823,13,8,2,1,592,188,0.759,18,11,2,1
Bruce Weber,Kansas State,Big 12,17,16,0.515,,,,2012-13,79,54,0.594,2,,,,392,209,0.652,10,3,1,
Al Skinner,Kennesaw State,A-Sun,11,20,0.355,,,,2015-16,11,20,0.355,,,,,396,311,0.56,9,1,,
Rob Senderoff,Kent State,MAC,19,13,0.594,,,,2011-12,100,67,0.599,,,,,100,67,0.599,,,,
John Calipari*,Kentucky,SEC,27,9,0.75,2,10,Lost Second Round,2009-10,217,47,0.822,6,5,4,1,662,187,0.78,17,12,6,1
John Giannini,La Salle,A-10,9,22,0.29,,,,2004-05,184,192,0.489,1,1,,,309,303,0.505,1,1,,
Fran O'Hanlon,Lafayette,Patriot,6,24,0.2,,,,1995-96,294,333,0.469,3,,,,294,333,0.469,3,,,
Tic Price,Lamar,Southland,11,19,0.367,,,,2013-14,27,38,0.415,,,,,194,160,0.548,2,,,
Brett Reed,Lehigh,Patriot,17,15,0.531,,,,2007-08,162,120,0.574,2,,,,162,120,0.574,2,,,
Ritchie McKay,Liberty,Big South,13,19,0.406,,,,2007-08,52,47,0.525,,,,,217,205,0.514,1,,,
Casey Alexander,Lipscomb,A-Sun,12,21,0.364,,,,2013-14,41,53,0.436,,,,,65,89,0.422,,,,
Dan Monson,Long Beach State,Big West,20,15,0.571,,,,2007-08,155,140,0.525,1,,,,325,263,0.553,3,1,,
Jack Perri,LIU-Brooklyn,NEC,16,15,0.516,,,,2012-13,57,67,0.46,1,,,,57,67,0.46,1,,,
Jayson Gee,Longwood,Big South,10,23,0.303,,,,2013-14,29,70,0.293,,,,,29,70,0.293,,,,
Bob Marlin,Louisiana,Sun Belt,19,15,0.559,,,,2010-11,107,92,0.538,1,,,,332,223,0.598,3,,,
Keith Richard,Louisiana-Monroe,Sun Belt,20,14,0.588,,,,2010-11,68,118,0.366,,,,,218,235,0.481,,,,
Johnny Jones,LSU,SEC,19,14,0.576,21,,,2012-13,80,51,0.611,1,,,,285,213,0.572,3,,,
Eric Konkol,Louisiana Tech,CUSA,23,10,0.697,,,,2015-16,23,10,0.697,,,,,23,10,0.697,,,,
Rick Pitino*,Louisville,ACC,23,8,0.742,,16,,2001-02,391,134,0.745,12,7,3,1,745,262,0.74,20,13,7,2
Porter Moser,Loyola (IL),MVC,15,17,0.469,,,,2011-12,71,91,0.438,,,,,176,192,0.478,,,,
Mike Dunlap,Loyola Marymount,WCC,14,17,0.452,,,,2014-15,22,40,0.355,,,,,22,40,0.355,,,,
G.G. Smith,Loyola (MD),Patriot,9,21,0.3,,,,2013-14,31,59,0.344,,,,,31,59,0.344,,,,
Bob Walsh,Maine,AEC,8,22,0.267,,,,2014-15,11,49,0.183,,,,,11,49,0.183,,,,
Steve Masiello,Manhattan,MAAC,13,18,0.419,,,,2011-12,92,71,0.564,2,,,,92,71,0.564,2,,,
Mike Maker,Marist,MAAC,7,23,0.233,,,,2014-15,14,48,0.226,,,,,14,48,0.226,,,,
Steve Wojciechowski,Marquette,Big East,20,13,0.606,,,,2014-15,33,32,0.508,,,,,33,32,0.508,,,,
Dan D'Antoni,Marshall,CUSA,17,16,0.515,,,,2014-15,28,37,0.431,,,,,28,37,0.431,,,,
Mark Turgeon,Maryland,Big Ten,27,9,0.75,3,18,Lost Regional Semifinal,2011-12,114,59,0.659,2,1,,,364,218,0.625,7,2,,
Aki Thomas,UMBC,AEC,7,25,0.219,,,,2012-13,28,95,0.228,,,,,28,95,0.228,,,,
Bobby Collins,Maryland-Eastern Shore,MEAC,10,22,0.312,,,,2014-15,28,37,0.431,,,,,130,175,0.426,1,,,
Derek Kellogg,UMass,A-10,14,18,0.438,,,,2008-09,140,119,0.541,1,,,,140,119,0.541,1,,,
Pat Duquette,UMass-Lowell,AEC,11,18,0.379,,,,2013-14,33,53,0.384,,,,,33,53,0.384,,,,
Dave Simmons,McNeese State,Southland,9,20,0.31,,,,2006-07,136,172,0.442,,,,,136,172,0.442,,,,
Josh Pastner,Memphis,AAC,19,15,0.559,,,,2009-10,167,73,0.696,4,,,,167,73,0.696,4,,,
Bob Hoffman,Mercer,Southern,19,15,0.559,,,,2008-09,164,113,0.592,1,,,,232,190,0.55,1,,,
Jim Larranaga,Miami (FL),ACC,27,8,0.771,,10,Lost Regional Semifinal,2011-12,118,57,0.674,2,2,,,560,366,0.605,7,3,1,
John Cooper,Miami (OH),MAC,13,20,0.394,,,,2012-13,48,79,0.378,,,,,91,131,0.41,,,,
John Beilein,Michigan,Big Ten,23,13,0.639,25,,Lost First Round,2007-08,189,123,0.606,6,2,1,,482,298,0.618,10,4,1,
Tom Izzo,Michigan State,Big Ten,29,6,0.829,13,2,Lost First Round,1995-96,524,205,0.719,19,13,7,1,524,205,0.719,19,13,7,1
Kermit Davis,Middle Tennessee,CUSA,25,10,0.714,,,Lost Second Round,2002-03,276,175,0.612,2,,,,347,225,0.607,4,,,
Rob Jeter,Milwaukee,Horizon,20,13,0.606,,,,2005-06,184,170,0.52,2,,,,184,170,0.52,2,,,
Richard Pitino,Minnesota,Big Ten,8,23,0.258,,,,2013-14,51,51,0.5,,,,,69,65,0.515,,,,
Andy Kennedy,Ole Miss,SEC,20,12,0.625,,,,2006-07,212,126,0.627,2,,,,233,139,0.626,2,,,
Ben Howland,Mississippi State,SEC,14,17,0.452,,,,2015-16,14,17,0.452,,,,,413,225,0.647,10,5,3,
Andre Payne,Mississippi Valley State,SWAC,8,27,0.229,,,,2014-15,14,53,0.209,,,,,14,53,0.209,,,,
Kim Anderson,Missouri,SEC,10,21,0.323,,,,2014-15,19,44,0.302,,,,,19,44,0.302,,,,
Kareem Richardson,UMKC,WAC,12,19,0.387,,,,2013-14,36,58,0.383,,,,,36,58,0.383,,,,
Paul Lusk,Missouri State,MVC,13,19,0.406,,,,2011-12,71,90,0.441,,,,,71,90,0.441,,,,
King Rice,Monmouth,MAAC,28,8,0.778,,,,2011-12,79,85,0.482,,,,,79,85,0.482,,,,
Travis DeCuire,Montana,Big Sky,21,12,0.636,,,,2014-15,41,25,0.621,,,,,41,25,0.621,,,,
Brian Fish,Montana State,Big Sky,14,17,0.452,,,,2014-15,21,40,0.344,,,,,21,40,0.344,,,,
Sean Woods,Morehead State,OVC,23,14,0.622,,,,2012-13,75,63,0.543,,,,,125,143,0.466,1,,,
Todd Bozeman*,Morgan State,MEAC,9,22,0.29,,,,2006-07,159,162,0.495,2,,,,222,197,0.53,5,1,,
Jamion Christian,Mount St. Mary's,NEC,14,19,0.424,,,,2012-13,63,65,0.492,1,,,,63,65,0.492,1,,,
Matt McMahon,Murray State,OVC,17,14,0.548,,,,2015-16,17,14,0.548,,,,,17,14,0.548,,,,
Ed DeChellis,Navy,Patriot,19,14,0.576,,,,2011-12,52,103,0.335,,,,,271,334,0.448,2,,,
Tim Miles,Nebraska,Big Ten,16,18,0.471,,,,2012-13,63,67,0.485,1,,,,170,175,0.493,2,,,
Derrin Hansen,Omaha,Summit,18,14,0.562,,,,2012-13,58,66,0.468,,,,,58,66,0.468,,,,
Eric Musselman,Nevada,MWC,24,14,0.632,,,,2015-16,24,14,0.632,,,,,24,14,0.632,,,,
Dave Rice,UNLV,MWC,9,7,0.562,,,,2011-12,98,54,0.645,2,,,,98,54,0.645,2,,,
Todd Simon,UNLV,MWC,9,8,0.529,,,,2015-16,9,8,0.529,,,,,9,8,0.529,,,,
Bill Herrion,New Hampshire,AEC,20,13,0.606,,,,2005-06,137,194,0.414,,,,,374,363,0.507,3,,,
Craig Neal,New Mexico,MWC,17,15,0.531,,,,2013-14,59,38,0.608,1,,,,59,38,0.608,1,,,
Marvin Menzies,New Mexico State,WAC,23,11,0.676,,,,2007-08,198,111,0.641,5,,,,198,111,0.641,5,,,
Mark Slessinger,New Orleans,Southland,10,20,0.333,,,,2012-13,40,71,0.36,,,,,40,71,0.36,,,,
Chris Casey,Niagara,MAAC,7,25,0.219,,,,2013-14,22,73,0.232,,,,,22,73,0.232,,,,
J.P. Piper,Nicholls State,Southland,11,23,0.324,,,,2004-05,132,224,0.371,,,,,132,224,0.371,,,,
Jim Engles,NJIT,A-Sun,20,15,0.571,,,,2008-09,111,139,0.444,,,,,111,139,0.444,,,,
Robert Jones,Norfolk State,MEAC,17,17,0.5,,,,2013-14,56,46,0.549,,,,,56,46,0.549,,,,
Roy Williams,UNC,ACC,33,7,0.825,1,3,Lost National Final,2003-04,365,108,0.772,12,8,4,2,783,209,0.789,26,17,8,2
Nick McDevitt,UNC Asheville,Big South,22,12,0.647,,,Lost First Round,2013-14,54,43,0.557,1,,,,54,43,0.557,1,,,
Cy Alexander,North Carolina A&T,MEAC,5,17,0.227,,,,2012-13,43,80,0.35,1,,,,386,386,0.5,6,,,
Jay Joyner,North Carolina A&T,MEAC,5,5,0.5,,,,2015-16,5,5,0.5,,,,,5,5,0.5,,,,
LeVelle Moton,North Carolina Central,MEAC,13,19,0.406,,,,2009-10,127,94,0.575,1,,,,127,94,0.575,1,,,
Wes Miller,UNC Greensboro,Southern,15,19,0.441,,,,2011-12,60,92,0.395,,,,,60,92,0.395,,,,
Mark Gottfried,NC State,ACC,16,17,0.485,,,,2011-12,108,69,0.61,4,2,,,386,224,0.633,11,3,,
Kevin Keatts,UNC Wilmington,CAA,25,8,0.758,,,Lost First Round,2014-15,43,22,0.662,1,,,,43,22,0.662,1,,,
Brian Jones,North Dakota,Big Sky,17,16,0.515,,,,2009-10,102,125,0.449,,,,,102,125,0.449,,,,
David Richman,North Dakota State,Summit,20,13,0.606,,,,2014-15,43,23,0.652,1,,,,43,23,0.652,1,,,
Matthew Driscoll,North Florida,A-Sun,22,12,0.647,,,,2009-10,118,112,0.513,1,,,,118,112,0.513,1,,,
Tony Benford,North Texas,CUSA,12,20,0.375,,,,2012-13,54,73,0.425,,,,,54,73,0.425,,,,
Bill Coen,Northeastern,CAA,18,15,0.545,,,,2006-07,163,160,0.505,1,,,,163,160,0.505,1,,,
