Coach,School,Conference,W_2014,L_2014,W-L%_2014,AP_Pre_2014,AP_Post_2014,NCAA_Tournament_2014,Since_2014,W_Career_2014,L_Career_2014,W-L%_Career_2014,NCAA_Career_2014,S16_Career_2014,FF_Career_2014,Chmp_Career_2014,W_Overall_2014,L_Overall_2014,W-L%_Overall_2014,NCAA_Overall_2014,S16_Overall_2014,FF_Overall_2014,Chmp_Overall_2014
Cliff Ellis,Coastal Carolina,Big South,24,10,0.706,,,Lost Second Round,2007-08,158,98,0.617,2,,,,694,436,0.614,10,3,,
Matt Langel,Colgate,Patriot,16,17,0.485,,,,2011-12,48,78,0.381,,,,,48,78,0.381,,,,
Earl Grant,College of Charleston,CAA,9,24,0.273,,,,2014-15,9,24,0.273,,,,,9,24,0.273,,,,
Tad Boyle,Colorado,Pac-12,16,18,0.471,,,,2010-11,108,68,0.614,3,,,,164,134,0.55,3,,,
Larry Eustachy,Colorado State,MWC,27,7,0.794,,,,2012-13,69,32,0.683,1,,,,471,290,0.619,5,1,,
Kyle Smith,Columbia,Ivy,13,15,0.464,,,,2010-11,76,72,0.514,,,,,76,72,0.514,,,,
Kevin Ollie,UConn,AAC,20,15,0.571,17,,,2012-13,72,33,0.686,1,1,1,1,72,33,0.686,1,1,1,1
Michael Grant,Coppin State,MEAC,8,23,0.258,,,,2014-15,8,23,0.258,,,,,34,54,0.386,,,,
Bill Courtney,Cornell,Ivy,13,17,0.433,,,,2010-11,50,95,0.345,,,,,50,95,0.345,,,,
Greg McDermott,Creighton,Big East,14,19,0.424,,,,2010-11,121,57,0.68,3,,,,270,188,0.59,6,,,
Paul Cormier,Dartmouth,Ivy,14,15,0.483,,,,1984-85,132,193,0.406,,,,,218,304,0.418,1,,,
Bob McKillop,Davidson,A-10,24,8,0.75,,,Lost Second Round,1989-90,496,300,0.623,8,1,,,496,300,0.623,8,1,,
Archie Miller,Dayton,A-10,27,9,0.75,,,Lost Third Round,2011-12,90,47,0.657,2,1,,,90,47,0.657,2,1,,
Monte Ross,Delaware,CAA,10,20,0.333,,,,2006-07,125,161,0.437,1,,,,125,161,0.437,1,,,
Keith Walker,Delaware State,MEAC,18,18,0.5,,,,2013-14,23,24,0.489,,,,,23,24,0.489,,,,
Joe Scott,Denver,Summit,12,18,0.4,,,,2007-08,130,117,0.526,,,,,219,225,0.493,1,,,
Oliver Purnell,DePaul,Big East,12,20,0.375,,,,2010-11,54,105,0.34,,,,,448,384,0.538,6,,,
Ray McCallum,Detroit,Horizon,15,18,0.455,,,,2008-09,114,117,0.494,1,,,,284,266,0.516,3,,,
Ray Giacoletti,Drake,MVC,9,22,0.29,,,,2013-14,24,38,0.387,,,,,147,128,0.535,2,1,,
Bruiser Flint,Drexel,CAA,11,19,0.367,,,,2001-02,239,192,0.555,,,,,325,264,0.552,2,,,
Mike Krzyzewski,Duke,ACC,35,4,0.897,4,4,Won National Final,1980-81,945,251,0.79,31,22,12,5,1018,310,0.767,31,22,12,5
