Coach,School,Conference,W_2014,L_2014,W-L%_2014,AP_Pre_2014,AP_Post_2014,NCAA_Tournament_2014,Since_2014,W_Career_2014,L_Career_2014,W-L%_Career_2014,NCAA_Career_2014,S16_Career_2014,FF_Career_2014,Chmp_Career_2014,W_Overall_2014,L_Overall_2014,W-L%_Overall_2014,NCAA_Overall_2014,S16_Overall_2014,FF_Overall_2014,Chmp_Overall_2014
Mark Gottfried,NC State,ACC,22,14,0.611,,,Lost Regional Semifinal,2011-12,92,52,0.639,4,2,,,370,207,0.641,11,3,,
Kevin Keatts,UNC Wilmington,CAA,18,14,0.562,,,,2014-15,18,14,0.562,,,,,18,14,0.562,,,,
Brian Jones,North Dakota,Big Sky,8,22,0.267,,,,2009-10,85,109,0.438,,,,,85,109,0.438,,,,
David Richman,North Dakota State,Summit,23,10,0.697,,,Lost Second Round,2014-15,23,10,0.697,1,,,,23,10,0.697,1,,,
Matthew Driscoll,North Florida,A-Sun,23,12,0.657,,,,2009-10,96,100,0.49,1,,,,96,100,0.49,1,,,
Tony Benford,North Texas,CUSA,14,17,0.452,,,,2012-13,42,53,0.442,,,,,42,53,0.442,,,,
Bill Coen,Northeastern,CAA,23,12,0.657,,,Lost Second Round,2006-07,145,145,0.5,1,,,,145,145,0.5,1,,,
Jack Murphy,Northern Arizona,Big Sky,23,15,0.605,,,,2012-13,49,53,0.48,,,,,49,53,0.48,,,,
B.J. Hill,Northern Colorado,Big Sky,15,15,0.5,,,,2010-11,76,77,0.497,1,,,,76,77,0.497,1,,,
Mark Montgomery,Northern Illinois,MAC,14,16,0.467,,,,2011-12,39,84,0.317,,,,,39,84,0.317,,,,
Ben Jacobson,Northern Iowa,MVC,31,4,0.886,,11,Lost Third Round,2006-07,197,105,0.652,3,1,,,197,105,0.652,3,1,,
Dave Bezold,Northern Kentucky,A-Sun,13,17,0.433,,,,2012-13,33,54,0.379,,,,,33,54,0.379,,,,
Chris Collins,Northwestern,Big Ten,15,17,0.469,,,,2013-14,29,36,0.446,,,,,29,36,0.446,,,,
Mike McConathy,Northwestern State,Southland,19,13,0.594,,,,1999-00,259,240,0.519,3,,,,259,240,0.519,3,,,
Mike Brey,Notre Dame,ACC,32,6,0.842,,8,Lost Regional Final,2000-01,332,165,0.668,10,2,,,431,217,0.665,12,2,,
Greg Kampe,Oakland,Horizon,16,17,0.485,,,,1999-00,271,241,0.529,3,,,,271,241,0.529,3,,,
Saul Phillips,Ohio,MAC,10,20,0.333,,,,2014-15,10,20,0.333,,,,,144,104,0.581,2,,,
Thad Matta,Ohio State,Big Ten,24,11,0.686,20,,Lost Third Round,2004-05,299,94,0.761,9,5,2,,401,125,0.762,13,6,2,
Lon Kruger,Oklahoma,Big 12,24,11,0.686,19,13,Lost Regional Semifinal,2011-12,82,49,0.626,3,1,,,561,353,0.614,16,4,1,
Travis Ford,Oklahoma State,Big 12,18,14,0.562,,,Lost Second Round,2008-09,143,91,0.611,5,,,,266,206,0.564,6,,,
Jeff Jones,Old Dominion,CUSA,27,8,0.771,,,,2013-14,45,26,0.634,,,,,402,313,0.562,7,2,,
Scott Sutton,Oral Roberts,Summit,19,15,0.559,,,,1999-00,306,208,0.595,3,,,,306,208,0.595,3,,,
Dana Altman,Oregon,Pac-12,26,10,0.722,,,Lost Third Round,2010-11,123,57,0.683,3,1,,,533,300,0.64,11,1,,
Wayne Tinkle,Oregon State,Pac-12,17,14,0.548,,,,2014-15,17,14,0.548,,,,,175,105,0.625,3,,,
Ron Verlin,Pacific,WCC,12,19,0.387,,,,2013-14,30,35,0.462,,,,,30,35,0.462,,,,
Patrick Chambers,Penn State,Big Ten,18,16,0.529,,,,2011-12,56,75,0.427,,,,,98,103,0.488,1,,,
Jerome Allen,Penn,Ivy,9,19,0.321,,,,2009-10,65,104,0.385,,,,,65,104,0.385,,,,
Marty Wilson,Pepperdine,WCC,18,14,0.562,,,,1995-96,58,77,0.43,,,,,58,77,0.43,,,,
Jamie Dixon,Pitt,ACC,19,15,0.559,,,,2003-04,307,111,0.734,10,3,,,307,111,0.734,10,3,,
Eric Reveno,Portland,WCC,17,16,0.515,,,,2006-07,128,158,0.448,,,,,128,158,0.448,,,,
Tyler Geving,Portland State,Big Sky,15,14,0.517,,,,2009-10,84,99,0.459,,,,,84,99,0.459,,,,
Byron Rimm,Prairie View,SWAC,15,18,0.455,,,,2006-07,114,174,0.396,,,,,114,174,0.396,,,,
Gregg Nibert,Presbyterian,Big South,10,22,0.312,,,,2007-08,73,173,0.297,,,,,73,173,0.297,,,,
Mitch Henderson,Princeton,Ivy,16,14,0.533,,,,2011-12,74,46,0.617,,,,,74,46,0.617,,,,
Ed Cooley,Providence,Big East,22,12,0.647,,,Lost Second Round,2011-12,79,56,0.585,2,,,,171,125,0.578,2,,,
Matt Painter,Purdue,Big Ten,21,13,0.618,,,Lost Second Round,2005-06,212,125,0.629,7,2,,,237,130,0.646,8,2,,
Tom Moore,Quinnipiac,MAAC,15,15,0.5,,,,2007-08,143,108,0.57,,,,,143,108,0.57,,,,
Mike Jones,Radford,Big South,22,12,0.647,,,,2011-12,63,70,0.474,,,,,63,70,0.474,,,,
Dan Hurley,Rhode Island,A-10,23,10,0.697,,,,2012-13,45,49,0.479,,,,,83,72,0.535,,,,
Mike Rhoades,Rice,CUSA,12,20,0.375,,,,2014-15,12,20,0.375,,,,,12,20,0.375,,,,
Chris Mooney,Richmond,A-10,21,14,0.6,,,,2005-06,187,146,0.562,2,1,,,205,158,0.565,2,1,,
Kevin Baggett,Rider,MAAC,21,12,0.636,,,,2012-13,54,44,0.551,,,,,54,44,0.551,,,,
Andrew Toole,Robert Morris,NEC,20,15,0.571,,,Lost Second Round,2010-11,110,65,0.629,1,,,,110,65,0.629,1,,,
Eddie Jordan,Rutgers,Big Ten,10,22,0.312,,,,2013-14,22,43,0.338,,,,,22,43,0.338,,,,
Brian Katz,Sacramento State,Big Sky,21,12,0.636,,,,2008-09,77,130,0.372,,,,,77,130,0.372,,,,
Anthony Latina,Sacred Heart,NEC,15,17,0.469,,,,2013-14,20,43,0.317,,,,,20,43,0.317,,,,
Rob Krimmel,Saint Francis (PA),NEC,16,16,0.5,,,,2012-13,31,61,0.337,,,,,31,61,0.337,,,,
Phil Martelli,St. Joseph's,A-10,13,18,0.419,,,,1995-96,375,265,0.586,6,2,,,375,265,0.586,6,2,,
Jim Crews,Saint Louis,A-10,11,21,0.344,,,,2012-13,66,35,0.653,2,,,,419,384,0.522,6,,,
Randy Bennett,Saint Mary's,WCC,21,10,0.677,,,,2001-02,304,145,0.677,5,1,,,304,145,0.677,5,1,,
John Dunne,St. Peter's,MAAC,16,18,0.471,,,,2006-07,102,178,0.364,1,,,,102,178,0.364,1,,,
Jason Hooten,Sam Houston State,Southland,26,9,0.743,,,,2010-11,98,69,0.587,,,,,98,69,0.587,,,,
Scott Padgett,Samford,Southern,13,19,0.406,,,,2014-15,13,19,0.406,,,,,13,19,0.406,,,,
Bill Grier,San Diego,WCC,15,16,0.484,,,,2007-08,117,144,0.448,1,,,,117,144,0.448,1,,,
Steve Fisher*,San Diego State,MWC,27,9,0.75,16,,Lost Third Round,1999-00,339,185,0.647,8,2,,,524,266,0.663,15,6,3,1
Rex Walters,San Francisco,WCC,14,18,0.438,,,,2008-09,112,112,0.5,,,,,143,145,0.497,,,,
Dave Wojcik,San Jose State,MWC,2,28,0.067,,,,2013-14,9,52,0.148,,,,,9,52,0.148,,,,
Kerry Keating,Santa Clara,WCC,14,18,0.438,,,,2007-08,128,139,0.479,,,,,128,139,0.479,,,,
Horace Broadnax,Savannah State,MEAC,9,22,0.29,,,,2005-06,127,179,0.415,,,,,169,267,0.388,,,,
Cameron Dollar,Seattle,WAC,18,16,0.529,,,,2009-10,79,104,0.432,,,,,79,104,0.432,,,,
Kevin Willard,Seton Hall,Big East,16,15,0.516,,,,2010-11,82,81,0.503,,,,,127,130,0.494,,,,
Jimmy Patsos,Siena,MAAC,11,20,0.355,,,,2013-14,31,38,0.449,,,,,176,173,0.504,1,,,
Matthew Graves,South Alabama,Sun Belt,12,21,0.364,,,,2013-14,23,41,0.359,,,,,23,41,0.359,,,,
Frank Martin,South Carolina,SEC,17,16,0.515,,,,2012-13,45,54,0.455,,,,,162,108,0.6,4,1,,
Murray Garvin,South Carolina State,MEAC,11,22,0.333,,,,2012-13,22,50,0.306,,,,,22,50,0.306,,,,
Eddie Payne,USC Upstate,A-Sun,24,12,0.667,,,,2007-08,107,149,0.418,,,,,213,297,0.418,1,,,
Craig Smith,South Dakota,Summit,17,16,0.515,,,,2014-15,17,16,0.515,,,,,17,16,0.515,,,,
Scott Nagy,South Dakota State,Summit,24,11,0.686,,,,2005-06,164,155,0.514,2,,,,164,155,0.514,2,,,
Orlando Antigua,South Florida,AAC,9,23,0.281,,,,2014-15,9,23,0.281,,,,,9,23,0.281,,,,
Dickey Nutt*,Southeast Missouri State,OVC,13,17,0.433,,,,2009-10,80,108,0.426,,,,,269,295,0.477,1,,,
Jay Ladner,Southeastern Louisiana,Southland,9,23,0.281,,,,2014-15,9,23,0.281,,,,,9,23,0.281,,,,
Roman Banks,Southern,SWAC,18,17,0.514,,,,2011-12,77,54,0.588,1,,,,77,54,0.588,1,,,
Andy Enfield,USC,Pac-12,12,20,0.375,,,,2013-14,23,41,0.359,,,,,64,69,0.481,1,1,,
Barry Hinson,Southern Illinois,MVC,12,21,0.364,,,,2012-13,40,57,0.412,,,,,245,197,0.554,,,,
Lennox Forrester,SIU-Edwardsville,OVC,12,16,0.429,,,,2008-09,65,135,0.325,,,,,65,135,0.325,,,,
Larry Brown*,SMU,AAC,27,7,0.794,22,18,Lost Second Round,2012-13,69,34,0.67,1,,,,246,95,0.721,8,4,3,1
Doc Sadler,Southern Miss,CUSA,9,20,0.31,,,,2014-15,9,20,0.31,,,,,158,127,0.554,1,,,
Nick Robinson,Southern Utah,Big Sky,10,19,0.345,,,,2012-13,23,66,0.258,,,,,23,66,0.258,,,,
Mark Schmidt,St. Bonaventure,A-10,18,13,0.581,,,,2007-08,124,123,0.502,1,,,,206,213,0.492,1,,,
Glenn Braica,St. Francis (NY),NEC,23,12,0.657,,,,2010-11,83,74,0.529,,,,,83,74,0.529,,,,
Steve Lavin,St. John's (NY),Big East,21,12,0.636,,,Lost Second Round,2010-11,92,72,0.561,2,,,,237,150,0.612,8,5,,
Johnny Dawkins,Stanford,Pac-12,24,13,0.649,,,,2008-09,141,100,0.585,1,1,,,141,100,0.585,1,1,,
Brad Underwood,Stephen F. Austin,Southland,29,5,0.853,,,Lost Second Round,2013-14,61,8,0.884,2,,,,61,8,0.884,2,,,
Corey Williams,Stetson,A-Sun,9,22,0.29,,,,2013-14,16,46,0.258,,,,,16,46,0.258,,,,
Steve Pikiell,Stony Brook,AEC,23,12,0.657,,,,2005-06,166,149,0.527,,,,,166,149,0.527,,,,
Jim Boeheim*,Syracuse,ACC,18,13,0.581,23,,,1976-77,966,333,0.744,31,16,4,1,966,333,0.744,31,16,4,1
Fran Dunphy,Temple,AAC,26,11,0.703,,,,2006-07,193,108,0.641,6,,,,503,271,0.65,15,,,
Donnie Tyndall*,Tennessee,SEC,16,16,0.5,,,,2014-15,16,16,0.5,,,,,186,118,0.612,2,,,
Heath Schroyer,UT-Martin,OVC,21,13,0.618,,,,2014-15,21,13,0.618,,,,,106,129,0.451,,,,
Dana Ford,Tennessee State,OVC,5,26,0.161,,,,2014-15,5,26,0.161,,,,,5,26,0.161,,,,
Steve Payne,Tennessee Tech,OVC,12,18,0.4,,,,2011-12,60,65,0.48,,,,,60,65,0.48,,,,
Rick Barnes,Texas,Big 12,20,14,0.588,10,,Lost Second Round,1998-99,402,180,0.691,16,5,1,,604,314,0.658,22,6,1,
Billy Kennedy,Texas A&M,SEC,21,12,0.636,,,,2011-12,71,61,0.538,,,,,282,240,0.54,2,,,
Willis Wilson,Texas A&M-Corpus Christi,Southland,20,14,0.588,,,,2011-12,50,77,0.394,,,,,268,324,0.453,,,,
Scott Cross,Texas-Arlington,Sun Belt,16,15,0.516,,,,2006-07,153,128,0.544,1,,,,153,128,0.544,1,,,
Trent Johnson,TCU,Big 12,18,15,0.545,,,,2012-13,38,58,0.396,,,,,264,244,0.52,5,2,,
Tim Floyd*,UTEP,CUSA,22,11,0.667,,,,2010-11,103,63,0.62,,,,,430,244,0.638,8,2,,
Dan Hipsher,Texas-Rio Grande Valley,WAC,10,21,0.323,,,,2013-14,19,44,0.302,,,,,160,208,0.435,,,,
Brooks Thompson,UTSA,CUSA,14,16,0.467,,,,2006-07,128,151,0.459,1,,,,128,151,0.459,1,,,
Mike Davis,Texas Southern,SWAC,22,13,0.629,,,Lost Second Round,2012-13,58,42,0.58,2,,,,295,194,0.603,7,1,1,
Danny Kaspar,Texas State,Sun Belt,14,17,0.452,,,,2013-14,22,40,0.355,,,,,268,181,0.597,1,,,
Tubby Smith,Texas Tech,Big 12,13,19,0.406,,,,2013-14,27,37,0.422,,,,,538,263,0.672,17,9,1,1
Tod Kowalczyk,Toledo,MAC,20,13,0.606,,,,2010-11,85,78,0.521,,,,,221,190,0.538,,,,
Pat Skerry,Towson,CAA,12,20,0.375,,,,2011-12,56,75,0.427,,,,,56,75,0.427,,,,
Phil Cunningham,Troy,Sun Belt,10,19,0.345,,,,2013-14,21,39,0.35,,,,,21,39,0.35,,,,
Ed Conroy,Tulane,AAC,15,16,0.484,,,,2010-11,80,81,0.497,,,,,129,157,0.451,,,,
Frank Haith,Tulsa,AAC,23,11,0.676,,,,2014-15,23,11,0.676,,,,,228,140,0.62,3,,,
Steve Alford,UCLA,Pac-12,22,14,0.611,,,Lost Regional Semifinal,2013-14,50,23,0.685,2,2,,,435,229,0.655,9,3,,
Larry Krystkowiak,Utah,Pac-12,26,9,0.743,25,19,Lost Regional Semifinal,2011-12,68,64,0.515,1,1,,,110,84,0.567,3,1,,
Stew Morrill,Utah State,MWC,18,13,0.581,,,,1998-99,402,156,0.72,8,,,,620,294,0.678,9,,,
Dick Hunsaker,Utah Valley,WAC,11,19,0.367,,,,2004-05,182,148,0.552,,,,,297,194,0.605,2,1,,
Bryce Drew,Valparaiso,Horizon,28,6,0.824,,,Lost Second Round,2011-12,94,42,0.691,2,,,,94,42,0.691,2,,,
Kevin Stallings,Vanderbilt,SEC,21,14,0.6,,,,1999-00,313,206,0.603,6,2,,,436,269,0.618,8,2,,
John Becker,Vermont,AEC,20,14,0.588,,,,2011-12,87,49,0.64,1,,,,87,49,0.64,1,,,
Jay Wright,Villanova,Big East,33,3,0.917,12,2,Lost Third Round,2001-02,319,152,0.677,10,4,1,,441,237,0.65,12,4,1,
Tony Bennett,Virginia,ACC,30,4,0.882,9,6,Lost Third Round,2009-10,136,64,0.68,3,1,,,205,97,0.679,5,2,,
Shaka Smart,VCU,A-10,26,10,0.722,15,25,Lost Second Round,2009-10,163,56,0.744,5,1,1,,163,56,0.744,5,1,1,
Duggar Baucom,VMI,Southern,11,19,0.367,,,,2005-06,151,159,0.487,,,,,151,159,0.487,,,,
Buzz Williams,Virginia Tech,ACC,11,22,0.333,,,,2014-15,11,22,0.333,,,,,164,108,0.603,5,3,,
Bashir Mason,Wagner,NEC,10,20,0.333,,,,2012-13,48,44,0.522,,,,,48,44,0.522,,,,
Danny Manning,Wake Forest,ACC,13,19,0.406,,,,2014-15,13,19,0.406,,,,,51,48,0.515,1,,,
Lorenzo Romar,Washington,Pac-12,16,15,0.516,,,,2002-03,270,159,0.629,6,3,,,363,247,0.595,7,3,,
Ernie Kent,Washington State,Pac-12,13,18,0.419,,,,2014-15,13,18,0.419,,,,,338,271,0.555,6,2,,
Randy Rahe,Weber State,Big Sky,13,17,0.433,,,,2006-07,182,104,0.636,2,,,,182,104,0.636,2,,,
Bob Huggins,West Virginia,Big 12,25,10,0.714,,20,Lost Regional Semifinal,2007-08,175,101,0.634,6,3,1,,693,287,0.707,21,7,2,
Larry Hunter,Western Carolina,Southern,15,17,0.469,,,,2005-06,155,169,0.478,,,,,359,317,0.531,1,,,
Bill Wright,Western Illinois,Summit,8,20,0.286,,,,2014-15,8,20,0.286,,,,,8,20,0.286,,,,
Ray Harper,Western Kentucky,CUSA,20,12,0.625,,,,2011-12,71,48,0.597,2,,,,71,48,0.597,2,,,
Steve Hawkins,Western Michigan,MAC,20,14,0.588,,,,2003-04,224,169,0.57,2,,,,224,169,0.57,2,,,
Gregg Marshall,Wichita State,MVC,30,5,0.857,11,14,Lost Regional Semifinal,2007-08,204,76,0.729,4,2,1,,398,159,0.715,11,2,1,
Tony Shaver,William & Mary,CAA,20,13,0.606,,,,2003-04,156,214,0.422,,,,,156,214,0.422,,,,
Pat Kelsey,Winthrop,Big South,19,13,0.594,,,,2012-13,53,43,0.552,,,,,53,43,0.552,,,,
Bo Ryan,Wisconsin,Big Ten,36,4,0.9,3,3,Lost National Final,2001-02,357,125,0.741,14,7,2,,387,152,0.718,14,7,2,
Mike Young,Wofford,Southern,28,7,0.8,,,Lost Second Round,2002-03,217,192,0.531,4,,,,217,192,0.531,4,,,
Billy Donlon,Wright State,Horizon,11,20,0.355,,,,2010-11,87,81,0.518,,,,,87,81,0.518,,,,
Larry Shyatt,Wyoming,MWC,25,10,0.714,,,Lost Second Round,1997-98,103,60,0.632,1,,,,173,144,0.546,1,,,
Chris Mack,Xavier,Big East,23,14,0.622,,,Lost Regional Semifinal,2009-10,134,71,0.654,5,3,,,134,71,0.654,5,3,,
James Jones,Yale,Ivy,22,10,0.688,,,,1999-00,231,232,0.499,,,,,231,232,0.499,,,,
Jerry Slocum,Youngstown State,Horizon,11,21,0.344,,,,2005-06,118,190,0.383,,,,,118,190,0.383,,,,
